Strain_ID,Alias,Platform,Sequenced_By,BioProject,BioSample,SRA,RefSeq,Genbank,Assembly_Name
Bb16-15-2,,ONT GridION; Illumina MiSeq,External,PRJNA1130942,SAMN42233981,,GCF_040790785.1,GCA_040790785.1,ASM4079078v1
297,,ONT GridION; Element Biosciences AVITI,External,PRJNA1130942,SAMN42233979,,GCF_040790795.1,GCA_040790795.1,ASM4079079v1
B31,,PacBio RSII; Illumina MiSeq,External,PRJNA1130942,SAMN42233977,,GCF_040790805.1,GCA_040790805.1,ASM4079080v1
UNY167P,B331P,PacBio RSII,Internal,PRJNA342676,SAMN05763278,SRR35050639,GCF_002442595.2,GCA_002442595.2,ASM244259v2
UNY186P,B418P,PacBio RSII,Internal,PRJNA548188,SAMN50685797,SRR35049690,,GCA_979085995.1,UNY186P_ann_v1
UNY196P,B500P,PacBio RSII,Internal,PRJNA342676,SAMN18927101,SRR35050638,GCF_019464575.1,GCA_019464575.1,ASM1946457v1
ESI26H,EU57_B190413,ONT GridION; Illumina,Internal,PRJNA548188,SAMN50670685,SRR35038857,,GCA_979087125.1,ESI26H_ann_v1
ESI361H,EU51_B192411,ONT GridION; Illumina,Internal,PRJNA548188,SAMN50670488,SRR35038858,,GCA_979087145.1,ESI361H_ann_v1
ESI403H,EU14_B89613,ONT GridION; Illumina,Internal,PRJNA548188,SAMN50670498,SRR35038859,,GCA_979087135.1,ESI403H_ann_v1
ESI425H,L113H,ONT GridION; Illumina,Internal,PRJNA548188,SAMN50671110,SRR35038856,,GCA_979087115.1,ESI425H_ann_v1
PFhe_I_PB_Ill_cons,PFhe_I,PacBio RSII; Illumina MiSeq,External,PRJNA270494,SAMN03269138,,GCF_040819585.1,GCA_040819585.1,PFhe_I_PB_Ill_cons
UCT109H,K69,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009644,SRS5039840,,GCA_979086045.1,UCT109H_ann_v1
UCT110H,K70,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009645,SRS5039838,,GCA_979086085.1,UCT110H_ann_v1
UCT113H,K76,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009651,SRS5039852,,GCA_979086105.1,UCT113H_ann_v1
UCT124H,K90,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009665,SRS5039847,,GCA_979086095.1,UCT124H_ann_v1
UCT29H,K1,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009576,SRS5039819,,GCA_979087185.1,UCT29H_ann_v1
UCT30H,K11,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009586,SRS5039824,,GCA_979087255.1,UCT30H_ann_v1
UCT31H,K10,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009585,SRS5039823,,GCA_979086135.1,UCT31H_ann_v1
UCT32H,K15,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009590,SRS5039831,,GCA_979087205.1,UCT32H_ann_v1
UCT35H,K24,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009599,SRS5039828,,GCA_979086155.1,UCT35H_ann_v1
UCT50H,K21,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009596,SRS5039836,,GCA_979086145.1,UCT50H_ann_v1
UCT92H,K72,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009647,SRS5039843,,GCA_979087215.1,UCT92H_ann_v1
UCT96H,K84,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009659,SRS5039850,,GCA_979086215.1,UCT96H_ann_v1
UNY1032P,BL206,PacBio RSII,Internal,PRJNA548188,SAMN50671267,SRR35049689,,GCA_979086165.1,UNY1032P_ann_v1
UNY1038P,BL224,PacBio RSII,Internal,PRJNA548188,SAMN50671268,SRR35049680,,GCA_979086195.1,UNY1038P_ann_v1
UNY1083P,BL515,PacBio RSII,Internal,PRJNA548188,SAMN50671269,SRR35049679,,GCA_979086175.1,UNY1083P_ann_v1
UNY1085P,BL522P,PacBio RSII,Internal,PRJNA548188,SAMN50671270,SRR35049678,,GCA_979087295.1,UNY1085P_ann_v1
UNY1090P,BL546P,PacBio RSII,Internal,PRJNA548188,SAMN50671271,SRR35049677,,GCA_979086205.1,UNY1090P_ann_v1
UNY1128P,MR614,PacBio RSII,Internal,PRJNA548188,SAMN50671272,SRR35049676,,GCA_979086225.1,UNY1128P_ann_v1
UNY149P,B247,PacBio RSII,Internal,PRJNA548188,SAMN50671273,SRR35049675,,GCA_979086265.1,UNY149P_ann_v1
UNY169P,B348,PacBio RSII,Internal,PRJNA548188,SAMN50671274,SRR35049674,,GCA_979087375.1,UNY169P_ann_v1
UNY172P,B356,PacBio RSII,Internal,PRJNA548188,SAMN50671275,SRR35049673,,GCA_979086285.1,UNY172P_ann_v1
UNY193P,B477,PacBio RSII,Internal,PRJNA548188,SAMN50671276,SRR35049688,,GCA_979086255.1,UNY193P_ann_v1
UNY203P,MR616,PacBio RSII,Internal,PRJNA548188,SAMN50671277,SRR35049687,,GCA_979087385.1,UNY203P_ann_v1
UNY208P,MR641,PacBio RSII,Internal,PRJNA548188,SAMN50671278,SRR35049686,,GCA_979087395.1,UNY208P_ann_v1
UNY990P,B483P,PacBio RSII,Internal,PRJNA548188,SAMN50671279,SRR35049685,,GCA_979086275.1,UNY990P_ann_v1
URI101H,K57,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009632,SRS5039856,,GCA_979086295.1,URI101H_ann_v1
URI102H,K58,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009633,SRS5039825,,GCA_979086305.1,URI102H_ann_v1
URI103H,K59,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009634,SRS5039826,,GCA_979086315.1,URI103H_ann_v1
URI107H,K66,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009641,SRS5039855,,GCA_979087465.1,URI107H_ann_v1
URI111H,K74,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009649,SRS5039841,,GCA_979086355.1,URI111H_ann_v1
URI112H,K75,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009650,SRS5039854,,GCA_979087445.1,URI112H_ann_v1
URI117H,K82,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009657,SRS5039853,,GCA_979087495.1,URI117H_ann_v1
URI118H,K83,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009658,SRS5039851,,GCA_979086395.1,URI118H_ann_v1
URI120H,K86,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009661,SRS5039849,,GCA_979086375.1,URI120H_ann_v1
URI33H,K16,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009591,SRS5039832,,GCA_979086385.1,URI33H_ann_v1
URI34H,K22,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009597,SRS5039827,,GCA_979086415.1,URI34H_ann_v1
URI36H,K25,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009600,SRS5039816,,GCA_979086405.1,URI36H_ann_v1
URI39H,K2,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009577,SRS5039820,,GCA_979086425.1,URI39H_ann_v1
URI40H,K3,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009578,SRS5039821,,GCA_979086475.1,URI40H_ann_v1
URI41H,K6,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009581,SRS5039822,,GCA_979086505.1,URI41H_ann_v1
URI42H,K7,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009582,SRS5039845,,GCA_979087555.1,URI42H_ann_v1
URI44H,K12,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009587,SRS5039829,,GCA_979087535.1,URI44H_ann_v1
URI46H,K17,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009592,SRS5039833,,GCA_979087585.1,URI46H_ann_v1
URI47H,K18,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009593,SRS5039834,,GCA_979087605.1,URI47H_ann_v1
URI48H,K19,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009594,SRS5039835,,GCA_979086465.1,URI48H_ann_v1
URI56H,K30,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009605,SRS5039815,,GCA_979086485.1,URI56H_ann_v1
URI86H,K56,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009631,SRS5039846,,GCA_979086495.1,URI86H_ann_v1
URI87H,K60,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009635,SRS5039817,,GCA_979087635.1,URI87H_ann_v1
URI88H,K62,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009637,SRS5039818,,GCA_979087625.1,URI88H_ann_v1
URI89H,K64,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009639,SRS5039839,,GCA_979087645.1,URI89H_ann_v1
URI91H,K71,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009646,SRS5039837,,GCA_979086535.1,URI91H_ann_v1
URI93H,K73,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009648,SRS5039844,,GCA_979087685.1,URI93H_ann_v1
UWI247P,MC104,PacBio RSII,Internal,PRJNA548188,SAMN50671280,SRR35049684,,GCA_979086635.1,UWI247P_ann_v1
UWI248P,MC105,PacBio RSII,Internal,PRJNA548188,SAMN50671281,SRR35049683,,GCA_979086585.1,UWI248P_ann_v1
UWI263P,MC123,PacBio RSII,Internal,PRJNA548188,SAMN50671282,SRR35049682,,GCA_979086595.1,UWI263P_ann_v1
UWI283P,MC149,PacBio RSII,Internal,PRJNA548188,SAMN50671283,SRR35049681,,GCA_979086605.1,UWI283P_ann_v1
XYZ459H,XD1H,ONT GridION; Illumina,Internal,PRJNA548188,SAMN50671109,SRR35038855,,GCA_979086655.1,XYZ459H_ann_v1
