Strain_ID,Alias,Platform,Sequenced_By,BioProject,BioSample,SRA,RefSeq,Genbank,Assembly_Name
URI103H,K59,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009634,SRS5039826,c,c,c
URI107H,K66,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009641,SRS5039855,c,c,c
URI111H,K74,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009649,SRS5039841,c,c,c
URI112H,K75,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009650,SRS5039854,c,c,c
URI117H,K82,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009657,SRS5039853,c,c,c
URI118H,K83,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009658,SRS5039851,c,c,c
URI120H,K86,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009661,SRS5039849,c,c,c
URI33H,K16,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009591,SRS5039832,c,c,c
URI34H,K22,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009597,SRS5039827,c,c,c
URI36H,K25,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009600,SRS5039816,c,c,c
URI39H,K2,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009577,SRS5039820,c,c,c
URI40H,K3,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009578,SRS5039821,c,c,c
URI41H,K6,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009581,SRS5039822,c,c,c
URI42H,K7,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009582,SRS5039845,c,c,c
URI44H,K12,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009587,SRS5039829,c,c,c
URI46H,K17,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009592,SRS5039833,c,c,c
URI47H,K18,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009593,SRS5039834,c,c,c
URI48H,K19,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009594,SRS5039835,c,c,c
URI56H,K30,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009605,SRS5039815,c,c,c
URI86H,K56,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009631,SRS5039846,c,c,c
URI87H,K60,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009635,SRS5039817,c,c,c
URI88H,K62,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009637,SRS5039818,c,c,c
URI89H,K64,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009639,SRS5039839,c,c,c
URI91H,K71,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009646,SRS5039837,c,c,c
URI93H,K73,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009648,SRS5039844,c,c,c
UWI247P,MC104,PacBio RSII,Internal,PRJNA548188,SAMN50671280,SRR35049684,c,c,c
UWI248P,MC105,PacBio RSII,Internal,PRJNA548188,SAMN50671281,SRR35049683,c,c,c
UWI263P,MC123,PacBio RSII,Internal,PRJNA548188,SAMN50671282,SRR35049682,c,c,c
UWI283P,MC149,PacBio RSII,Internal,PRJNA548188,SAMN50671283,SRR35049681,c,c,c
XYZ459H,XD1H,ONT GridION; Illumina,Internal,PRJNA548188,SAMN50671109,SRR35038855,c,c,c
,,,,,,,,,
,,,,a,Longread SRAs unavailable.,,,,
,,,,b,NCBI submission pending.,,,,
,,,,c,NCBI submission pending. Sequences available at https://github.com/broadinstitute/Bb_pangenome/tree/assemblies/assemblies,,,,
