ID	group	gene	old_locus_tag	percent_ident	alignment_length	E-score
group_297	group_297	BB_RS00200	BB_0040	99.765	852	0.0
phoU	phoU	BB_RS00205	BB_0042	100.000	672	0.0
group_31	group_31	BB_RS00210	BB_0043	99.328	1041	0.0
group_905	group_905	BB_RS00215	BB_0044	100.000	402	0.0
smc	smc	BB_RS00220	BB_0045	99.387	2448	0.0
rnhB	rnhB	BB_RS00225	BB_0046	99.451	546	0.0
bpuR	bpuR	BB_RS00230	BB_0047	98.645	369	0.0
yhhQ	yhhQ	BB_RS00245	BB_0050	99.556	675	0.0
group_1183	group_1183	BB_RS00250	BB_0051	99.565	690	0.0
trmH	trmH	BB_RS00255	BB_0052	99.239	657	0.0
ung	ung	BB_RS00260	BB_0053	99.554	672	0.0
secG	secG	BB_RS00265	BB_0054	99.174	363	0.0
tpiA	tpiA	BB_RS00270	BB_0055	99.738	762	0.0
pgk	pgk	BB_RS00275	BB_0056	99.662	1182	0.0
gap	gap	BB_RS00280	BB_0057	99.901	1008	0.0
bepA	bepA	BB_RS00285	BB_0058	99.899	1971	0.0
tlyC	tlyC	BB_RS00290	BB_0059	99.487	780	0.0
ybeY	ybeY	BB_RS00295	BB_0060	98.932	468	0.0
trxA	trxA	BB_RS00300	BB_0061	99.435	354	0.0
rsmE1	rsmE1	BB_RS00305	BB_0062	99.303	717	0.0
fmt	fmt	BB_RS00315	BB_0064	99.787	939	0.0
def	def	BB_RS00320	BB_0065	99.398	498	0.0
group_588	group_588	BB_RS00325	BB_0066	98.696	690	0.0
pepP	pepP	BB_RS00330	BB_0067	99.382	1779	0.0
cof	cof	BB_RS00335	BB_0068	99.773	882	0.0
ampS	ampS	BB_RS00340	BB_0069	99.839	1239	0.0
yuiD	yuiD	BB_RS00345	BB_0070	99.351	462	0.0
group_19	group_19	BB_RS00350	BB_0071	99.661	1473	0.0
rnfC	rnfC	BB_RS00355	BB_0072	99.656	2325	0.0
group_853	group_853	BB_RS00360	BB_0073	99.643	561	0.0
group_83	group_83	BB_RS00370	BB_0075	99.645	1410	0.0
ftsY	ftsY	BB_RS00375	BB_0076	99.764	846	0.0
group_180	group_180	BB_RS00380	BB_0077	99.028	1029	0.0
group_105	group_105	BB_RS00385	BB_0078	99.602	1255	0.0
group_618	group_618	BB_RS00390	BB_0080	100.000	681	0.0
lolC~~~lolE	lolC~~~lolE	BB_RS00395	BB_0081	98.561	1251	0.0
group_391	group_391	BB_RS00400	BB_0082	99.615	1299	0.0
group_927	group_927	BB_RS00405	BB_0083	100.000	321	9.47e-167
csd	csd	BB_RS00410	BB_0084	100.000	1269	0.0
iscU	iscU	BB_RS00415	BB_0085	99.765	426	0.0
ldh	ldh	BB_RS00425	BB_0087	99.790	951	0.0
group_895	group_895	BB_RS00440	BB_0090	100.000	435	0.0
atpI	atpI	BB_RS00445	BB_0091	99.617	1827	0.0
atpD	atpD	BB_RS00450	BB_0092	99.836	609	0.0
atpB	atpB	BB_RS00455	BB_0093	99.847	1305	0.0
atpA	atpA	BB_RS00460	BB_0094	99.769	1728	0.0
group_834	group_834	BB_RS00470	BB_0096	99.500	600	0.0
group_912	group_912	BB_RS00475	BB_0097	99.742	387	0.0
mutS2	mutS2	BB_RS00480	BB_0098	99.232	2343	0.0
rsgA	rsgA	BB_RS00485	BB_0099	99.567	924	0.0
murI	murI	BB_RS00490	BB_0100	99.237	786	0.0
asnS	asnS	BB_RS00495	BB_0101	99.640	1389	0.0
group_251	group_251	BB_RS00500	BB_0102	97.893	522	0.0
hpt1	hpt1	BB_RS00505	BB_0103	99.663	594	0.0
degQ	degQ	BB_RS00510	BB_0104	98.456	1425	0.0
map	map	BB_RS00515	BB_0105	99.735	756	0.0
group_65	group_65	BB_RS00520	BB_0106	99.940	1668	0.0
surA	surA	BB_RS00530	BB_0108	100.000	1011	0.0
paaJ	paaJ	BB_RS00535	BB_0109	99.666	1197	0.0
group_1141	group_1141	BB_RS00540	BB_0110	99.707	1365	0.0
dnaB	dnaB	BB_RS00545	BB_0111	99.927	1368	0.0
rplI	rplI	BB_RS00550	BB_0112	100.000	522	0.0
rpsR	rpsR	BB_RS00555	BB_0113	99.656	291	6.36e-149
ssb	ssb	BB_RS00560	BB_0114	99.778	450	0.0
rpsF	rpsF	BB_RS00565	BB_0115	99.286	420	0.0
ptsG2	ptsG2	BB_RS00570	BB_0116	99.764	1695	0.0
yqfA	yqfA	BB_RS00575	BB_0117	98.433	702	0.0
rseP	rseP	BB_RS00580	BB_0118	98.771	1302	0.0
group_298	group_298	BB_RS00585	BB_0119	99.883	852	0.0
rpsB	rpsB	BB_RS00605	BB_0123	97.573	783	0.0
rpsA	rpsA	BB_RS00625	BB_0127	99.275	1656	0.0
cmk	cmk	BB_RS00630	BB_0128	98.198	666	0.0
rsuA	rsuA	BB_RS00635	BB_0129	99.333	750	0.0
group_428	group_428	BB_RS00640	BB_0130	99.609	768	0.0
recA	recA	BB_RS00645	BB_0131	98.452	1098	0.0
greA	greA	BB_RS00650	BB_0132	99.224	2706	0.0
group_223	group_223	BB_RS00655	BB_0133	99.894	945	0.0
ftsI	ftsI	BB_RS00670	BB_0136	99.524	1890	0.0
group_41	group_41	BB_RS00675	BB_0137	99.683	1893	0.0
group_11	group_11	BB_RS00690	BB_0140	99.409	3216	0.0
acrA	acrA	BB_RS00695	BB_0141	99.581	954	0.0
tolC	tolC	BB_RS00700	BB_0142	99.767	1287	0.0
proX	proX	BB_RS00710	BB_0144	98.740	873	0.0
proW	proW	BB_RS00715	BB_0145	99.778	900	0.0
proV	proV	BB_RS00720	BB_0146	99.732	1119	0.0
flaB	flaB	BB_RS00725	BB_0147	99.802	1011	0.0
fliD	fliD	BB_RS00730	BB_0149	99.600	1998	0.0
nagA	nagA	BB_RS00735	BB_0151	99.502	1206	0.0
nagB	nagB	BB_RS00740	BB_0152	99.752	807	0.0
group_899	group_899	BB_RS00765	BB_0157	100.000	417	0.0
alr	alr	BB_RS00780	BB_0160	99.732	1119	0.0
group_67	group_67	BB_RS00785	BB_0161	99.813	1602	0.0
group_970	group_970	BB_RS07735	BB_0162	100.000	168	4.85e-84
group_56	group_56	BB_RS00790	BB_0163	99.371	1749	0.0
group_203	group_203	BB_RS00795	BB_0164	99.899	987	0.0
group_47	group_47	BB_RS00800	BB_0165	99.729	1845	0.0
group_72	group_72	BB_RS00805	BB_0166	99.737	1521	0.0
ompA	ompA	BB_RS00810	BB_0167	99.915	1170	0.0
dksA	dksA	BB_RS00815	BB_0168	98.677	378	0.0
infA	infA	BB_RS00820	BB_0169	99.099	222	1.76e-110
group_33	group_33	BB_RS00825	BB_0170	99.351	2004	0.0
group_842	group_842	BB_RS00830	BB_0171	98.299	588	0.0
terY	terY	BB_RS00835	BB_0172	99.392	987	0.0
chlD	chlD	BB_RS00840	BB_0173	99.202	1002	0.0
batD	batD	BB_RS00845	BB_0174	100.000	906	0.0
yeaD2	yeaD2	BB_RS00850	BB_0175	99.543	876	0.0
moxR	moxR	BB_RS00855	BB_0176	99.094	993	0.0
rsmG	rsmG	BB_RS00860	BB_0177	99.362	627	0.0
mnmG	mnmG	BB_RS00865	BB_0178	99.196	1866	0.0
mnmE	mnmE	BB_RS00870	BB_0179	99.642	1395	0.0
flbF	flbF	BB_RS00875	BB_0180	100.000	495	0.0
flgK	flgK	BB_RS00880	BB_0181	99.788	1884	0.0
flgL	flgL	BB_RS00885	BB_0182	99.529	1275	0.0
fliW	fliW	BB_RS00890	BB_0183	100.000	393	0.0
csrA	csrA	BB_RS00895	BB_0184	100.000	246	3.36e-126
tsaB	tsaB	BB_RS00900	BB_0185	100.000	654	0.0
tsaE	tsaE	BB_RS00905	BB_0186	99.517	414	0.0
group_948	group_948	BB_RS00910	BB_0187	100.000	261	2.58e-134
rplT	rplT	BB_RS00915	BB_0188	99.425	348	3.06e-179
infC	infC	BB_RS00925	BB_0190	99.643	561	0.0
group_665	group_665	BB_RS00930	BB_0192	100.000	654	0.0
group_500	group_500	BB_RS00935	BB_0193	100.000	741	0.0
tatD	tatD	BB_RS00940	BB_0194	98.642	810	0.0
lapB	lapB	BB_RS00945	BB_0195	99.298	1140	0.0
prfA	prfA	BB_RS00950	BB_0196	99.255	1074	0.0
prmC	prmC	BB_RS00955	BB_0197	99.187	861	0.0
spoT	spoT	BB_RS00960	BB_0198	99.351	2004	0.0
group_1147	group_1147	BB_RS00965	BB_0199	98.808	2265	0.0
ddl	ddl	BB_RS00970	BB_0200	98.987	1086	0.0
corB~~~tlyC	corB~~~tlyC	BB_RS00985	BB_0202	99.274	1239	0.0
hflK	hflK	BB_RS00990	BB_0203	99.573	936	0.0
hflC	hflC	BB_RS00995	BB_0204	100.000	972	0.0
rsmD	rsmD	BB_RS01015	BB_0206	99.628	537	0.0
group_316	group_316	BB_RS01020	BB_0207	99.761	837	0.0
group_57	group_57	BB_RS01025	BB_0208	99.427	1746	0.0
group_429	group_429	BB_RS01030	BB_0209	99.479	768	0.0
bepA~~~lmp1	bepA~~~lmp1	BB_RS01035	BB_0210	97.655	2260	0.0
group_177	group_177	BB_RS01045	BB_0212	99.709	1032	0.0
group_666	group_666	BB_RS01055	BB_0213	99.083	654	0.0
efp	efp	BB_RS01060	BB_0214	99.827	579	0.0
pstS	pstS	BB_RS01065	BB_0215	99.881	840	0.0
pstC	pstC	BB_RS01070	BB_0216	99.780	909	0.0
pstA	pstA	BB_RS01075	BB_0217	98.747	1437	0.0
pstB	pstB	BB_RS01080	BB_0218	97.063	783	0.0
zupT	zupT	BB_RS01085	BB_0219	99.392	822	0.0
alaS	alaS	BB_RS01090	BB_0220	99.384	1785	0.0
fliG	fliG	BB_RS01095	BB_0221	99.754	1218	0.0
pgl	pgl	BB_RS01100	BB_0222	99.859	708	0.0
group_925	group_925	BB_RS01105	BB_0223	99.718	354	0.0
group_1139	group_1139	BB_RS01115	BB_0225	98.810	1008	0.0
serS	serS	BB_RS01120	BB_0226	99.374	1278	0.0
group_554	group_554	BB_RS01125	BB_0227	99.430	702	0.0
cym1	cym1	BB_RS01130	BB_0228	99.520	2916	0.0
rpmE2	rpmE2	BB_RS01135	BB_0229	99.187	246	1.74e-123
rho	rho	BB_RS01140	BB_0230	99.677	1546	0.0
group_904	group_904	BB_RS01145	BB_0231	99.755	408	0.0
hbb	hbb	BB_RS01150	BB_0232	99.388	327	2.51e-167
rpsT	rpsT	BB_RS01155	BB_0233	99.225	258	5.62e-130
orfR	orfR	BB_RS01160	BB_0234	99.517	828	0.0
ychF	ychF	BB_RS01165	BB_0235	99.548	1107	0.0
yncE	yncE	BB_RS01170	BB_0236	98.804	2007	0.0
lnt	lnt	BB_RS01175	BB_0237	99.042	1566	0.0
group_427	group_427	BB_RS01180	BB_0238	99.870	771	0.0
dck	dck	BB_RS01185	BB_0239	99.502	603	0.0
glpF	glpF	BB_RS01190	BB_0240	99.869	765	0.0
glpK	glpK	BB_RS01195	BB_0241	99.535	1506	0.0
glpA	glpA	BB_RS01200	BB_0243	99.424	1563	0.0
yaaR	yaaR	BB_RS01205	BB_0244	99.596	495	0.0
group_862	group_862	BB_RS01210	BB_0245	100.000	555	0.0
nlpD	nlpD	BB_RS01215	BB_0246	99.805	1026	0.0
rdgB	rdgB	BB_RS01220	BB_0247	99.835	606	0.0
pepF	pepF	BB_RS01225	BB_0248	98.872	1773	0.0
pcs	pcs	BB_RS01230	BB_0249	99.007	705	0.0
dedA	dedA	BB_RS01235	BB_0250	99.837	615	0.0
leuS	leuS	BB_RS01245	BB_0251	98.969	2523	0.0
mMPL	mMPL	BB_RS01250	BB_0252	99.306	2304	0.0
lon	lon	BB_RS01255	BB_0253	99.752	2421	0.0
recJ	recJ	BB_RS01260	BB_0254	99.530	2127	0.0
group_224	group_224	BB_RS01265	BB_0255	100.000	945	0.0
rpsU	rpsU	BB_RS01270	BB_0256	100.000	210	9.87e-107
ftsK	ftsK	BB_RS01275	BB_0257	99.365	2364	0.0
uppP	uppP	BB_RS01280	BB_0258	99.625	801	0.0
mltE	mltE	BB_RS01285	BB_0259	99.629	2154	0.0
tPR	tPR	BB_RS01295	BB_0261	99.711	1383	0.0
lysM	lysM	BB_RS01300	BB_0262	99.761	1254	0.0
group_889	group_889	BB_RS01305	BB_0263	100.000	507	0.0
group_79	group_79	BB_RS01310	BB_0264	99.524	1470	0.0
group_881	group_881	BB_RS01315	BB_0265	99.425	522	0.0
fapA	fapA	BB_RS01325	BB_0267	99.633	1905	0.0
hfq	hfq	BB_RS01330	BB_0268	99.375	480	0.0
group_265	group_265	BB_RS01335	BB_0269	99.662	888	0.0
flhF	flhF	BB_RS01340	BB_0270	99.914	1167	0.0
flhA	flhA	BB_RS01345	BB_0271	99.857	2091	0.0
flhB	flhB	BB_RS01350	BB_0272	99.553	1119	0.0
fliR	fliR	BB_RS01355	BB_0273	99.493	789	0.0
fliQ	fliQ	BB_RS01360	BB_0274	99.242	264	3.18e-133
fliP	fliP	BB_RS01365	BB_0275	98.953	764	0.0
fliN	fliN	BB_RS01375	BB_0277	100.000	342	3.66e-178
fliM	fliM	BB_RS01380	BB_0278	99.906	1059	0.0
fliL	fliL	BB_RS01385	BB_0279	98.883	537	0.0
motB	motB	BB_RS01390	BB_0280	99.617	783	0.0
motA	motA	BB_RS01395	BB_0281	100.000	783	0.0
swrD	swrD	BB_RS01400	BB_0282	100.000	225	7.67e-115
flgE	flgE	BB_RS01405	BB_0283	99.549	1329	0.0
flgD	flgD	BB_RS01410	BB_0284	99.550	444	0.0
group_796	group_796	BB_RS01420	BB_0286	99.353	618	0.0
group_1137	group_1137	BB_RS01425	BB_0287	99.306	432	0.0
fliI	fliI	BB_RS01430	BB_0288	99.619	1311	0.0
fliH	fliH	BB_RS01435	BB_0289	98.806	921	0.0
group_175	group_175	BB_RS01440	BB_0290	99.517	1035	0.0
fliF	fliF	BB_RS01445	BB_0291	99.532	1710	0.0
fliE	fliE	BB_RS01450	BB_0292	98.512	336	7.42e-168
flgC	flgC	BB_RS01455	BB_0293	100.000	459	0.0
flgB	flgB	BB_RS01460	BB_0294	99.510	408	0.0
hslU	hslU	BB_RS01465	BB_0295	100.000	1347	0.0
hslV	hslV	BB_RS01470	BB_0296	99.454	549	0.0
dprA	dprA	BB_RS01475	BB_0297	99.259	945	0.0
group_576	group_576	BB_RS01480	BB_0298	99.423	693	0.0
ftsZ	ftsZ	BB_RS01485	BB_0299	99.083	1200	0.0
ftsA	ftsA	BB_RS01490	BB_0300	100.000	1242	0.0
ftsQ	ftsQ	BB_RS01495	BB_0301	99.866	744	0.0
ftsW	ftsW	BB_RS01500	BB_0302	98.867	1059	0.0
mraY	mraY	BB_RS01505	BB_0303	99.716	1056	0.0
murF	murF	BB_RS01510	BB_0304	99.497	1392	0.0
ftsL	ftsL	BB_RS01515	BB_0305	100.000	282	1.12e-145
rsmH	rsmH	BB_RS01520	BB_0306	99.439	891	0.0
group_317	group_317	BB_RS01525	BB_0307	99.642	837	0.0
group_162	group_162	BB_RS01530	BB_0308	99.536	1077	0.0
group_462	group_462	BB_RS01535	BB_0309	99.605	759	0.0
nadK	nadK	BB_RS01540	BB_0311	99.881	840	0.0
group_879	group_879	BB_RS01545	BB_0312	100.000	531	0.0
rlmE	rlmE	BB_RS01550	BB_0313	99.655	579	0.0
ispA	ispA	BB_RS01555	BB_0314	99.713	1044	0.0
group_597	group_597	BB_RS01560	BB_0315	100.000	687	0.0
nupQ	nupQ	BB_RS01565	BB_0316	99.752	807	0.0
group_237	group_237	BB_RS01570	BB_0317	98.928	933	0.0
mglA	mglA	BB_RS01575	BB_0318	99.658	1461	0.0
nupN	nupN	BB_RS01580	BB_0319	99.620	1053	0.0
group_181	group_181	BB_RS01590	BB_0322	99.417	1029	0.0
xkdP	xkdP	BB_RS01595	BB_0323	99.384	1137	0.0
bamD	bamD	BB_RS01600	BB_0324	100.000	360	0.0
group_34	group_34	BB_RS01605	BB_0325	99.550	1110	0.0
group_260	group_260	BB_RS01615	BB_0327	99.889	897	0.0
oppA	oppA	BB_RS01630	BB_0330	99.569	1626	0.0
group_249	group_249	BB_RS01635	BB_0332	97.177	921	0.0
dppC	dppC	BB_RS01640	BB_0333	99.524	1050	0.0
dppD	dppD	BB_RS01645	BB_0334	99.427	873	0.0
gsiA	gsiA	BB_RS01650	BB_0335	99.280	972	0.0
group_1138	group_1138	BB_RS01655	BB_0336	99.863	732	0.0
eno	eno	BB_RS01660	BB_0337	98.848	1302	0.0
rpsI	rpsI	BB_RS01665	BB_0338	99.027	411	0.0
rplM	rplM	BB_RS01670	BB_0339	99.773	441	0.0
group_1186	group_1186	BB_RS01700	BB_0345	99.250	1200	0.0
lolA	lolA	BB_RS01705	BB_0346	100.000	651	0.0
rqcH	rqcH	BB_RS01710	BB_0347	99.789	1419	0.0
amrB	amrB	BB_RS01720	BB_0349	99.325	741	0.0
group_69	group_69	BB_RS01730	BB_0351	99.617	1566	0.0
group_135	group_135	BB_RS01735	BB_0352	99.643	1122	0.0
group_1155	group_1155	BB_RS01740	BB_0353	99.500	1800	0.0
group_216	group_216	BB_RS01745	BB_0354	99.685	951	0.0
cdnL	cdnL	BB_RS01750	BB_0355	100.000	489	0.0
group_839	group_839	BB_RS01755	BB_0357	99.328	595	0.0
ctpA	ctpA	BB_RS01765	BB_0359	98.950	1428	0.0
group_1151	group_1151	BB_RS01775	BB_0361	98.688	1143	0.0
lgt	lgt	BB_RS01780	BB_0362	98.987	987	0.0
pdeA	pdeA	BB_RS01785	BB_0363	99.205	2013	0.0
apeA	apeA	BB_RS01800	BB_0366	99.201	1377	0.0
group_167	group_167	BB_RS01810	BB_0368	98.772	1059	0.0
tyrS	tyrS	BB_RS01820	BB_0370	99.097	1218	0.0
glyQS	glyQS	BB_RS01825	BB_0371	99.925	1338	0.0
gltX	gltX	BB_RS01830	BB_0372	99.457	1473	0.0
group_430	group_430	BB_RS01835	BB_0373	99.740	768	0.0
pdeB	pdeB	BB_RS01840	BB_0374	99.825	1140	0.0
group_541	group_541	BB_RS01845	BB_0375	99.580	714	0.0
metK	metK	BB_RS01850	BB_0376	99.491	1179	0.0
luxS	luxS	BB_RS01855	BB_0377	99.789	474	0.0
hinT	hinT	BB_RS01865	BB_0379	99.762	420	0.0
mgtE	mgtE	BB_RS01870	BB_0380	99.414	1365	0.0
treA	treA	BB_RS01875	BB_0381	99.368	1425	0.0
bmpB	bmpB	BB_RS01880	BB_0382	99.708	1026	0.0
bmpA	bmpA	BB_RS01885	BB_0383	99.902	1020	0.0
bmpC	bmpC	BB_RS01890	BB_0384	99.812	1062	0.0
bmpD	bmpD	BB_RS01895	BB_0385	99.903	1026	0.0
rpsG	rpsG	BB_RS01900	BB_0386	99.789	474	0.0
rpsL	rpsL	BB_RS01905	BB_0387	99.733	375	0.0
rpoC	rpoC	BB_RS01910	BB_0388	99.782	4134	0.0
rpoB	rpoB	BB_RS01915	BB_0389	99.106	3468	0.0
rplL	rplL	BB_RS01920	BB_0390	99.467	375	0.0
rplJ	rplJ	BB_RS01925	BB_0391	99.387	489	0.0
rplA	rplA	BB_RS01930	BB_0392	99.853	681	0.0
rplK	rplK	BB_RS01935	BB_0393	100.000	432	0.0
nusG	nusG	BB_RS01940	BB_0394	99.279	555	0.0
secE	secE	BB_RS01945	BB_0395	100.000	171	1.16e-85
rpmG	rpmG	BB_RS01955	BB_0396	100.000	180	1.60e-90
group_302	group_302	BB_RS01965	BB_0397	99.529	849	0.0
aNKYR	aNKYR	BB_RS01975	BB_0399	97.727	660	0.0
group_71	group_71	BB_RS01980	BB_0400	98.445	1543	0.0
proS	proS	BB_RS01990	BB_0402	99.659	1467	0.0
group_623	group_623	BB_RS01995	BB_0403	99.705	678	0.0
group_900	group_900	BB_RS02000	BB_0404	99.520	417	0.0
group_814	group_814	BB_RS02005	BB_0405	99.837	612	0.0
group_815	group_815	BB_RS02010	BB_0406	99.510	612	0.0
manA	manA	BB_RS02015	BB_0407	100.000	1119	0.0
group_268	group_268	BB_RS02030	BB_0411	99.320	882	0.0
group_405	group_405	BB_RS02035	BB_0412	99.103	780	0.0
sEC59	sEC59	BB_RS02040	BB_0413	99.517	621	0.0
group_292	group_292	BB_RS02045	BB_0414	99.883	858	0.0
group_130	group_130	BB_RS02050	BB_0415	99.911	1128	0.0
group_112	group_112	BB_RS02055	BB_0416	99.506	1215	0.0
adk	adk	BB_RS02060	BB_0417	99.528	636	0.0
group_182	group_182	BB_RS02065	BB_0418	99.223	1029	0.0
rrp1	rrp1	BB_RS02070	BB_0419	99.892	924	0.0
cheY	cheY	BB_RS02075	BB_0420	99.554	4485	0.0
group_373	group_373	BB_RS02110	BB_0421	99.524	840	0.0
mpg	mpg	BB_RS02115	BB_0422	98.752	561	0.0
rCL	rCL	BB_RS02135	BB_0426	99.636	549	0.0
group_932	group_932	BB_RS02145	BB_0428	99.686	318	1.54e-163
group_910	group_910	BB_RS02150	BB_0429	100.000	390	0.0
group_829	group_829	BB_RS02155	BB_0430	99.835	606	0.0
group_478	group_478	BB_RS02160	BB_0431	99.336	753	0.0
group_542	group_542	BB_RS02165	BB_0432	99.580	714	0.0
parB	parB	BB_RS02170	BB_0434	99.617	783	0.0
gyrA	gyrA	BB_RS02175	BB_0435	99.589	2433	0.0
gyrB	gyrB	BB_RS02180	BB_0436	99.580	1905	0.0
dnaN	dnaN	BB_RS02190	BB_0438	98.877	1158	0.0
rpmH	rpmH	BB_RS02200	BB_0440	100.000	156	1.46e-77
rnpA	rnpA	BB_RS02205	BB_0441	99.722	360	0.0
yidC	yidC	BB_RS02210	BB_0442	99.633	1635	0.0
jag	jag	BB_RS02215	BB_0443	99.726	729	0.0
wcaG	wcaG	BB_RS02220	BB_0444	100.000	1068	0.0
fbaA	fbaA	BB_RS02225	BB_0445	99.630	1080	0.0
aspS	aspS	BB_RS02235	BB_0446	99.546	1761	0.0
ptsN	ptsN	BB_RS02240	BB_0447	99.668	2106	0.0
group_1122	group_1122	BB_RS02245	BB_0448	99.275	276	1.02e-139
raiA	raiA	BB_RS02250	BB_0449	100.000	294	3.56e-152
rpoN	rpoN	BB_RS02255	BB_0450	99.603	1260	0.0
group_878	group_878	BB_RS02260	BB_0451	99.064	534	0.0
chrA	chrA	BB_RS02265	BB_0452	100.000	588	0.0
mscS	mscS	BB_RS02270	BB_0453	99.763	843	0.0
rfaB	rfaB	BB_RS02275	BB_0454	99.826	1152	0.0
holA	holA	BB_RS02280	BB_0455	99.697	990	0.0
group_830	group_830	BB_RS02285	BB_0456	99.010	606	0.0
uvrC	uvrC	BB_RS02290	BB_0457	99.558	1812	0.0
group_106	group_106	BB_RS02300	BB_0459	99.847	1311	0.0
group_987	group_987	BB_RS02315	BB_0460	99.860	714	0.0
dnaX	dnaX	BB_RS02335	BB_0461	99.406	1683	0.0
efbC	efbC	BB_RS02340	BB_0462	100.000	300	2.01e-155
ndk	ndk	BB_RS02345	BB_0463	99.608	510	0.0
group_880	group_880	BB_RS02350	BB_0464	99.621	528	0.0
group_563	group_563	BB_RS02355	BB_0465	100.000	696	0.0
lptB	lptB	BB_RS02360	BB_0466	99.495	792	0.0
pgeF	pgeF	BB_RS02365	BB_0467	99.565	690	0.0
nIF3	nIF3	BB_RS02370	BB_0468	99.598	747	0.0
lspA	lspA	BB_RS02375	BB_0469	100.000	513	0.0
ymdB	ymdB	BB_RS02385	BB_0471	99.513	822	0.0
murA	murA	BB_RS02390	BB_0472	99.221	1284	0.0
norM	norM	BB_RS02395	BB_0473	99.927	1365	0.0
group_908	group_908	BB_RS02400	BB_0475	99.744	390	0.0
tuf	tuf	BB_RS02405	BB_0476	99.662	1185	0.0
rpsJ	rpsJ	BB_RS02410	BB_0477	99.679	312	2.73e-160
rplC	rplC	BB_RS02415	BB_0478	99.517	621	0.0
rplD	rplD	BB_RS02420	BB_0479	99.683	630	0.0
rplW	rplW	BB_RS02425	BB_0480	99.327	297	4.38e-151
rplB	rplB	BB_RS02430	BB_0481	99.640	834	0.0
rpsS	rpsS	BB_RS02435	BB_0482	99.642	279	2.00e-142
rplV	rplV	BB_RS02440	BB_0483	99.449	363	0.0
rplP	rplP	BB_RS02450	BB_0485	99.760	417	0.0
rpmC	rpmC	BB_RS02455	BB_0486	99.502	201	3.07e-100
rpsQ	rpsQ	BB_RS02460	BB_0487	100.000	255	4.55e-131
rplN	rplN	BB_RS02465	BB_0488	98.370	368	0.0
rplX	rplX	BB_RS02470	BB_0489	100.000	306	1.14e-158
rplE	rplE	BB_RS02475	BB_0490	99.636	549	0.0
rplF	rplF	BB_RS02490	BB_0493	99.632	543	0.0
rplR	rplR	BB_RS02495	BB_0494	100.000	360	0.0
rpsE	rpsE	BB_RS02500	BB_0495	99.598	498	0.0
rpmD	rpmD	BB_RS02505	BB_0496	99.020	306	2.50e-154
rplO	rplO	BB_RS02510	BB_0497	98.630	438	0.0
secY	secY	BB_RS02515	BB_0498	98.314	1305	0.0
rpmJ	rpmJ	BB_RS02520	BB_0499	100.000	114	6.41e-55
rpsM	rpsM	BB_RS02525	BB_0500	99.471	378	0.0
rpsK	rpsK	BB_RS02530	BB_0501	99.746	393	0.0
rpoA	rpoA	BB_RS02535	BB_0502	99.034	1035	0.0
rplQ	rplQ	BB_RS02540	BB_0503	99.194	372	0.0
rny	rny	BB_RS02545	BB_0504	99.087	1533	0.0
group_1131	group_1131	BB_RS02550	BB_0505	98.606	789	0.0
gerM	gerM	BB_RS02560	BB_0507	99.866	747	0.0
der	der	BB_RS02565	BB_0508	99.923	1302	0.0
group_104	group_104	BB_RS02570	BB_0509	99.762	1260	0.0
group_589	group_589	BB_RS02575	BB_0511	98.991	694	0.0
group_0	group_0	BB_RS02580	BB_0512	99.369	6501	0.0
