gene,RST1,RST2,RST3,replicon,color,size,Localization,lipo,surface_lipo,refseq_id,old_name,PC1,PC2,PC3,RST_Category
bmpC,1.0,1.0,1.0,chromosome,#ffffff,41.0,P-IM,Lipoprotein,Other,BB_RS01890,BB_0384,1.0,0.5259009296105674,0.5304753499527708,Shared
group_165,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS04100,BB_0808,1.0,0.5259009296105674,0.5304753499527708,Shared
dadA,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS03830,BB_0756,1.0,0.5259009296105674,0.5304753499527708,Shared
mnmA,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS03455,BB_0682,1.0,0.5259009296105674,0.5304753499527708,Shared
wcaG,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS02220,BB_0444,1.0,0.5259009296105674,0.5304753499527708,Shared
prfA,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS00950,BB_0196,1.0,0.5259009296105674,0.5304753499527708,Shared
group_162,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS01530,BB_0308,1.0,0.5259009296105674,0.5304753499527708,Shared
fbaA,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS02225,BB_0445,1.0,0.5259009296105674,0.5304753499527708,Shared
tsaD,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS03895,BB_0769,1.0,0.5259009296105674,0.5304753499527708,Shared
group_175,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS01440,BB_0290,1.0,0.5259009296105674,0.5304753499527708,Shared
rpoA,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS02535,BB_0502,1.0,0.5259009296105674,0.5304753499527708,Shared
flaB,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS00725,BB_0147,1.0,0.5259009296105674,0.5304753499527708,Shared
yvaK,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS03275,BB_0646,1.0,0.5259009296105674,0.5304753499527708,Shared
obgE,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Lipoprotein,Other,BB_RS03960,BB_0781,1.0,0.5259009296105674,0.5304753499527708,Shared
lgt,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS01780,BB_0362,1.0,0.5259009296105674,0.5304753499527708,Shared
group_203,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS00795,BB_0164,1.0,0.5259009296105674,0.5304753499527708,Shared
dusA,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS03730,BB_0737,1.0,0.5259009296105674,0.5304753499527708,Shared
holA,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS02280,BB_0455,1.0,0.5259009296105674,0.5304753499527708,Shared
moxR,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS00855,BB_0176,1.0,0.5259009296105674,0.5304753499527708,Shared
group_193,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS00045,BB_0009,1.0,0.5259009296105674,0.5304753499527708,Shared
flgI,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS03915,BB_0772,1.0,0.5259009296105674,0.5304753499527708,Shared
gap,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS00280,BB_0057,1.0,0.5259009296105674,0.5304753499527708,Shared
surA,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS00530,BB_0108,1.0,0.5259009296105674,0.5304753499527708,Shared
group_177,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS01045,BB_0212,1.0,0.5259009296105674,0.5304753499527708,Shared
group_186,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS03720,BB_0734,1.0,0.5259009296105674,0.5304753499527708,Shared
bmpA,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS01885,BB_0383,1.0,0.5259009296105674,0.5304753499527708,Shared
flaA,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS03385,BB_0668,1.0,0.5259009296105674,0.5304753499527708,Shared
bmpD,1.0,1.0,1.0,chromosome,#ffffff,41.0,P-IM,Lipoprotein,Other,BB_RS01895,BB_0385,1.0,0.5259009296105674,0.5304753499527708,Shared
bmpB,1.0,1.0,1.0,chromosome,#ffffff,41.0,P-IM,Lipoprotein,Other,BB_RS01880,BB_0382,1.0,0.5259009296105674,0.5304753499527708,Shared
nlpD,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS01215,BB_0246,1.0,0.5259009296105674,0.5304753499527708,Shared
group_182,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS02065,BB_0418,1.0,0.5259009296105674,0.5304753499527708,Shared
group_181,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS01590,BB_0322,1.0,0.5259009296105674,0.5304753499527708,Shared
group_180,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS00380,BB_0077,1.0,0.5259009296105674,0.5304753499527708,Shared
mltG,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS03595,BB_0709,1.0,0.5259009296105674,0.5304753499527708,Shared
ddl,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS00970,BB_0200,1.0,0.5259009296105674,0.5304753499527708,Shared
murG,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS03885,BB_0767,1.0,0.5259009296105674,0.5304753499527708,Shared
group_105,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS00385,BB_0078,1.0,0.5259009296105674,0.5304753499527708,Shared
dnaJ,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS02605,BB_0517,1.0,0.5259009296105674,0.5304753499527708,Shared
metK,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS01850,BB_0376,1.0,0.5259009296105674,0.5304753499527708,Shared
pgk,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS00275,BB_0056,1.0,0.5259009296105674,0.5304753499527708,Shared
group_119,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS03970,BB_0783,1.0,0.5259009296105674,0.5304753499527708,Shared
tuf,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Lipoprotein,Other,BB_RS02405,BB_0476,1.0,0.5259009296105674,0.5304753499527708,Shared
paaJ,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS00535,BB_0109,1.0,0.5259009296105674,0.5304753499527708,Shared
ftsZ,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS01485,BB_0299,1.0,0.5259009296105674,0.5304753499527708,Shared
nagA,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS00735,BB_0151,1.0,0.5259009296105674,0.5304753499527708,Shared
gltP,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS01985,BB_0401,1.0,0.5259009296105674,0.5304753499527708,Shared
group_112,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS02055,BB_0416,1.0,0.5259009296105674,0.5304753499527708,Shared
ackA,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS03145,BB_0622,1.0,0.5259009296105674,0.5304753499527708,Shared
dacC,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Lipoprotein,Other,BB_RS03040,BB_0605,1.0,0.5259009296105674,0.5304753499527708,Shared
tyrS,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS01820,BB_0370,1.0,0.5259009296105674,0.5304753499527708,Shared
fliG,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS01095,BB_0221,1.0,0.5259009296105674,0.5304753499527708,Shared
prs,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS02730,BB_0544,1.0,0.5259009296105674,0.5304753499527708,Shared
pksG,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS03460,BB_0683,1.0,0.5259009296105674,0.5304753499527708,Shared
chlD,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS00840,BB_0173,1.0,0.5259009296105674,0.5304753499527708,Shared
pcnB,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS03570,BB_0706,1.0,0.5259009296105674,0.5304753499527708,Shared
arcA,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS04265,BB_0841,1.0,0.5259009296105674,0.5304753499527708,Shared
ampS,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS00340,BB_0069,1.0,0.5259009296105674,0.5304753499527708,Shared
sbcD,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS04200,BB_0829,1.0,0.5259009296105674,0.5304753499527708,Shared
ftsA,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS01490,BB_0300,1.0,0.5259009296105674,0.5304753499527708,Shared
comEC,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS02970,BB_0591,1.0,0.5259009296105674,0.5304753499527708,Shared
glyA,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS03020,BB_0601,1.0,0.5259009296105674,0.5304753499527708,Shared
coaBC,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS04120,BB_0812,1.0,0.5259009296105674,0.5304753499527708,Shared
ompA,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS00810,BB_0167,1.0,0.5259009296105674,0.5304753499527708,Shared
terY,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS00835,BB_0172,1.0,0.5259009296105674,0.5304753499527708,Shared
group_135,1.0,1.0,1.0,chromosome,#ffffff,41.0,S,Lipoprotein,Surface,BB_RS01735,BB_0352,1.0,0.5259009296105674,0.5304753499527708,Shared
ftsW,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS01500,BB_0302,1.0,0.5259009296105674,0.5304753499527708,Shared
recA,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS00645,BB_0131,1.0,0.5259009296105674,0.5304753499527708,Shared
yfcC,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS04275,BB_0843,1.0,0.5259009296105674,0.5304753499527708,Shared
tdk,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS04015,BB_0791,1.0,0.5259009296105674,0.5304753499527708,Shared
bglX,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Lipoprotein,Other,BB_RS00010,BB_0002,1.0,0.5259009296105674,0.5304753499527708,Shared
ychF,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS01165,BB_0235,1.0,0.5259009296105674,0.5304753499527708,Shared
manA,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS02015,BB_0407,1.0,0.5259009296105674,0.5304753499527708,Shared
flhB,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS01350,BB_0272,1.0,0.5259009296105674,0.5304753499527708,Shared
alr,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS00780,BB_0160,1.0,0.5259009296105674,0.5304753499527708,Shared
proV,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS00720,BB_0146,1.0,0.5259009296105674,0.5304753499527708,Shared
group_130,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS02050,BB_0415,1.0,0.5259009296105674,0.5304753499527708,Shared
flhF,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS01340,BB_0270,1.0,0.5259009296105674,0.5304753499527708,Shared
psgB,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Lipoprotein,Other,BB_RS03325,BB_0656,1.0,0.5259009296105674,0.5304753499527708,Shared
xkdP,1.0,1.0,1.0,chromosome,#ffffff,41.0,P-OM,Lipoprotein,Other,BB_RS01595,BB_0323,1.0,0.5259009296105674,0.5304753499527708,Shared
lapB,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS00945,BB_0195,1.0,0.5259009296105674,0.5304753499527708,Shared
pilF,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS00660,BB_0134,1.0,0.5259009296105674,0.5304753499527708,Shared
ntrY,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS03870,BB_0764,1.0,0.5259009296105674,0.5304753499527708,Shared
nupP,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS03435,BB_0678,1.0,0.5259009296105674,0.5304753499527708,Shared
rfaB,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS02275,BB_0454,1.0,0.5259009296105674,0.5304753499527708,Shared
cheB,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS02850,BB_0568,1.0,0.5259009296105674,0.5304753499527708,Shared
dnaN,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS02190,BB_0438,1.0,0.5259009296105674,0.5304753499527708,Shared
group_122,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS02905,BB_0578,1.0,0.5259009296105674,0.5304753499527708,Shared
group_205,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS00435,BB_0089,1.0,0.5259009296105674,0.5304753499527708,Shared
rluD,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS00090,BB_0018,1.0,0.5259009296105674,0.5304753499527708,Shared
lepB,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS00155,BB_0031,1.0,0.5259009296105674,0.5304753499527708,Shared
trxB,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS02595,BB_0515,1.0,0.5259009296105674,0.5304753499527708,Shared
group_299,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS02885,BB_0574,1.0,0.5259009296105674,0.5304753499527708,Shared
group_298,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS00585,BB_0119,1.0,0.5259009296105674,0.5304753499527708,Shared
group_297,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS00200,BB_0040,1.0,0.5259009296105674,0.5304753499527708,Shared
group_293,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS03850,BB_0759,1.0,0.5259009296105674,0.5304753499527708,Shared
group_292,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS02045,BB_0414,1.0,0.5259009296105674,0.5304753499527708,Shared
group_291,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS00035,BB_0007,1.0,0.5259009296105674,0.5304753499527708,Shared
yejE,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS03785,BB_0746,1.0,0.5259009296105674,0.5304753499527708,Shared
prmC,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS00955,BB_0197,1.0,0.5259009296105674,0.5304753499527708,Shared
group_284,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS03420,BB_0675,1.0,0.5259009296105674,0.5304753499527708,Shared
yicC,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS04150,BB_0818,1.0,0.5259009296105674,0.5304753499527708,Shared
cutB,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS02790,BB_0556,1.0,0.5259009296105674,0.5304753499527708,Shared
era,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS03345,BB_0660,1.0,0.5259009296105674,0.5304753499527708,Shared
dppD,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS01645,BB_0334,1.0,0.5259009296105674,0.5304753499527708,Shared
proX,1.0,1.0,1.0,chromosome,#ffffff,41.0,P-IM,Lipoprotein,Other,BB_RS00710,BB_0144,1.0,0.5259009296105674,0.5304753499527708,Shared
yeaD2,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS00850,BB_0175,1.0,0.5259009296105674,0.5304753499527708,Shared
group_271,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS02195,BB_0439,1.0,0.5259009296105674,0.5304753499527708,Shared
rsfS,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS03975,BB_0784,1.0,0.5259009296105674,0.5304753499527708,Shared
group_268,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS02030,BB_0411,1.0,0.5259009296105674,0.5304753499527708,Shared
cof,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS00335,BB_0068,1.0,0.5259009296105674,0.5304753499527708,Shared
group_266,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS03860,BB_0761,1.0,0.5259009296105674,0.5304753499527708,Shared
group_265,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS01335,BB_0269,1.0,0.5259009296105674,0.5304753499527708,Shared
fni,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS03465,BB_0684,1.0,0.5259009296105674,0.5304753499527708,Shared
flgF,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS03930,BB_0775,1.0,0.5259009296105674,0.5304753499527708,Shared
group_302,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS01965,BB_0397,1.0,0.5259009296105674,0.5304753499527708,Shared
murE,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS00975,BB_0201,1.0,0.5259009296105674,0.5304753499527708,Shared
ftsY,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS00375,BB_0076,1.0,0.5259009296105674,0.5304753499527708,Shared
flgJ1,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS03910,BB_0771a,1.0,0.5259009296105674,0.5304753499527708,Shared
sod,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS00745,BB_0153,1.0,0.5259009296105674,0.5304753499527708,Shared
group_356,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS02880,BB_0573,1.0,0.5259009296105674,0.5304753499527708,Shared
uppS,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS00590,BB_0120,1.0,0.5259009296105674,0.5304753499527708,Shared
ykwD,1.0,1.0,1.0,chromosome,#ffffff,41.0,S,Lipoprotein,Surface,BB_RS03495,BB_0689,1.0,0.5259009296105674,0.5304753499527708,Shared
group_353,1.0,1.0,1.0,chromosome,#ffffff,41.0,P-IM,Lipoprotein,Other,BB_RS01620,BB_0328,1.0,0.5259009296105674,0.5304753499527708,Shared
group_352,1.0,1.0,1.0,lp17,#ffffff,41.0,S,Lipoprotein,Surface,BB_RS05645,BB_D10,1.0,0.5259009296105674,0.5304753499527708,Shared
dprA,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS01475,BB_0297,1.0,0.5259009296105674,0.5304753499527708,Shared
ymdB,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS02385,BB_0471,1.0,0.5259009296105674,0.5304753499527708,Shared
lptB,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS02360,BB_0466,1.0,0.5259009296105674,0.5304753499527708,Shared
zupT,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS01085,BB_0219,1.0,0.5259009296105674,0.5304753499527708,Shared
group_325,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS03320,BB_0655,1.0,0.5259009296105674,0.5304753499527708,Shared
rsmA,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS02965,BB_0590,1.0,0.5259009296105674,0.5304753499527708,Shared
rplB,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS02430,BB_0481,1.0,0.5259009296105674,0.5304753499527708,Shared
group_319,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Lipoprotein,Other,BB_RS03380,BB_0667,1.0,0.5259009296105674,0.5304753499527708,Shared
group_317,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS01525,BB_0307,1.0,0.5259009296105674,0.5304753499527708,Shared
group_316,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS01020,BB_0207,1.0,0.5259009296105674,0.5304753499527708,Shared
ylqF,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS03260,BB_0643,1.0,0.5259009296105674,0.5304753499527708,Shared
nadK,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS01540,BB_0311,1.0,0.5259009296105674,0.5304753499527708,Shared
pstS,1.0,1.0,1.0,chromosome,#ffffff,41.0,P-IM,Lipoprotein,Other,BB_RS01065,BB_0215,1.0,0.5259009296105674,0.5304753499527708,Shared
group_310,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS00055,BB_0011,1.0,0.5259009296105674,0.5304753499527708,Shared
mscS,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS02270,BB_0453,1.0,0.5259009296105674,0.5304753499527708,Shared
mreC,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS03630,BB_0716,1.0,0.5259009296105674,0.5304753499527708,Shared
rsmH,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS01520,BB_0306,1.0,0.5259009296105674,0.5304753499527708,Shared
group_264,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS04260,BB_0840,1.0,0.5259009296105674,0.5304753499527708,Shared
mvk,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS03485,BB_0688,1.0,0.5259009296105674,0.5304753499527708,Shared
group_216,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Lipoprotein,Other,BB_RS01745,BB_0354,1.0,0.5259009296105674,0.5304753499527708,Shared
group_229,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS04185,BB_0826,1.0,0.5259009296105674,0.5304753499527708,Shared
group_226,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS02755,BB_0549,1.0,0.5259009296105674,0.5304753499527708,Shared
coaE,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS02745,BB_0547,1.0,0.5259009296105674,0.5304753499527708,Shared
rpsH,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS02485,BB_0492,1.0,0.5259009296105674,0.5304753499527708,Shared
group_224,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS01265,BB_0255,1.0,0.5259009296105674,0.5304753499527708,Shared
group_223,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS00655,BB_0133,1.0,0.5259009296105674,0.5304753499527708,Shared
ycf19,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS02915,BB_0580,1.0,0.5259009296105674,0.5304753499527708,Shared
group_218,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS04140,BB_0816,1.0,0.5259009296105674,0.5304753499527708,Shared
group_217,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS04135,BB_0815,1.0,0.5259009296105674,0.5304753499527708,Shared
pdxI,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS02645,BB_0528,1.0,0.5259009296105674,0.5304753499527708,Shared
ldh,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS00425,BB_0087,1.0,0.5259009296105674,0.5304753499527708,Shared
fmt,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS00315,BB_0064,1.0,0.5259009296105674,0.5304753499527708,Shared
eRG8,1.0,1.0,1.0,chromosome,#ffffff,41.0,,Other,Other,BB_RS03480,BB_0687,1.0,0.5259009296105674,0.5304753499527708,Shared
acrA,1.0,1.0,1.0,chromosome,#ffffff,41.0,P-IM,Lipoprotein,Other,BB_RS00695,BB_0141,1.0,0.5259009296105674,0.5304753499527708,Shared
