gene,Localization,lipo,surface_lipo
folD,,Other,Other
frr,,Other,Other
ftsA,,Other,Other
ftsH,,Other,Other
ftsI,,Other,Other
ftsK,,Other,Other
ftsL,,Lipoprotein,Other
ftsQ,,Other,Other
ftsW,,Other,Other
ftsY,,Other,Other
ftsZ,,Other,Other
fusA,,Lipoprotein,Other
gap,,Other,Other
gatA,,Other,Other
gatB,,Other,Other
gatC,,Other,Other
gerM,,Other,Other
gldG,,Lipoprotein,Other
glpA,,Other,Other
glpF,,Other,Other
glpK,,Other,Other
gltP,,Other,Other
gltX,,Other,Other
glyA,,Other,Other
glyQS,,Other,Other
gnd,,Other,Other
gph,,Other,Other
gpmA,,Other,Other
greA,,Other,Other
groES,,Other,Other
groL,,Other,Other
group_0,,Other,Other
group_1,,Other,Other
group_10,,Other,Other
group_100,,Other,Other
group_1000,,Other,Other
group_1001,,Other,Other
group_1002,,Other,Other
group_1003,,Other,Other
group_1004,,Other,Other
group_1005,,Other,Other
group_1006,,Other,Other
group_1007,,Other,Other
group_1008,,Other,Other
group_1009,,Other,Other
group_101,,Other,Other
group_1010,,Other,Other
group_1011,,Other,Other
group_1012,,Other,Other
group_1013,,Other,Other
group_1014,,Other,Other
group_1015,,Other,Other
group_1016,,Other,Other
group_1017,,Other,Other
group_1018,,Other,Other
group_1019,,Other,Other
group_102,,Other,Other
group_1020,,Other,Other
group_1021,,Other,Other
group_1022,,Other,Other
group_1023,,Other,Other
group_1024,,Other,Other
group_1025,,Other,Other
group_1026,,Other,Other
group_1027,,Other,Other
group_1028,,Other,Other
group_1029,,Other,Other
group_103,,Other,Other
group_1030,,Other,Other
group_1031,,Other,Other
group_1032,,Other,Other
group_1033,,Other,Other
group_1034,,Other,Other
group_1035,,Other,Other
group_1036,,Other,Other
group_1037,S,Lipoprotein,Surface
group_1038,,Other,Other
group_1039,S,Lipoprotein,Surface
group_104,,Other,Other
group_1040,,Other,Other
group_1041,,Other,Other
group_1042,,Other,Other
group_1043,,Other,Other
group_1044,,Other,Other
group_1045,,Other,Other
group_1046,,Other,Other
group_1047,,Other,Other
group_1048,,Other,Other
group_1049,,Other,Other
group_105,,Other,Other
group_1050,,Other,Other
group_1051,,Other,Other
group_1052,,Other,Other
group_1053,,Other,Other
group_1054,,Other,Other
group_1055,,Other,Other
group_1056,,Other,Other
group_1057,,Other,Other
group_1058,,Other,Other
group_1059,,Other,Other
group_106,,Other,Other
group_1060,,Other,Other
group_1061,,Other,Other
group_1062,,Other,Other
group_1063,,Other,Other
group_1064,,Other,Other
group_1065,,Other,Other
group_1066,,Other,Other
group_1067,,Other,Other
group_1068,,Other,Other
group_1069,,Other,Other
group_107,,Other,Other
group_1070,,Other,Other
group_1071,,Other,Other
group_1072,,Other,Other
group_1073,,Other,Other
group_1074,,Other,Other
group_1075,,Other,Other
group_1076,,Other,Other
group_1077,,Other,Other
group_1078,,Other,Other
group_1079,,Other,Other
group_108,,Other,Other
group_1080,,Other,Other
group_1081,,Other,Other
group_1082,,Lipoprotein,Other
group_1083,S,Lipoprotein,Surface
group_1084,,Lipoprotein,Other
group_1085,,Other,Other
group_1086,,Other,Other
group_1087,,Other,Other
group_1088,,Other,Other
group_1089,,Other,Other
group_109,,Other,Other
group_1090,,Other,Other
group_1091,,Other,Other
group_1092,,Other,Other
group_1093,,Other,Other
group_1094,S,Lipoprotein,Surface
group_1095,,Other,Other
group_1096,,Other,Other
group_1097,,Other,Other
group_1098,S,Lipoprotein,Surface
group_1099,,Other,Other
group_11,,Other,Other
group_110,,Other,Other
group_1100,,Other,Other
group_1101,,Other,Other
group_1102,S,Lipoprotein,Surface
group_1103,,Other,Other
group_1104,,Other,Other
group_1105,S,Lipoprotein,Surface
group_1106,,Other,Other
group_1107,,Other,Other
group_1108,,Other,Other
group_1109,,Other,Other
group_111,,Other,Other
group_1110,S,Lipoprotein,Surface
group_1111,,Other,Other
group_1112,,Other,Other
group_1113,,Other,Other
group_1114,,Other,Other
group_1115,,Lipoprotein,Other
group_1116,,Other,Other
group_1117,P-IM,Lipoprotein,Other
group_1118,,Other,Other
group_1119,,Other,Other
group_112,,Other,Other
group_1120,,Other,Other
group_1121,,Other,Other
group_1122,,Other,Other
group_1123,,Other,Other
group_1124,,Other,Other
group_1125,,Other,Other
group_1126,,Other,Other
group_1127,,Other,Other
group_1128,,Other,Other
group_1129,,Other,Other
group_113,S,Lipoprotein,Surface
group_1130,P-IM,Lipoprotein,Other
group_1131,,Other,Other
group_1132,,Other,Other
group_1133,P-IM,Lipoprotein,Other
group_1134,,Other,Other
group_1135,,Other,Other
group_1136,,Other,Other
group_1137,,Other,Other
group_1138,,Lipoprotein,Other
group_1139,,Other,Other
group_114,,Other,Other
group_1140,,Other,Other
group_1141,,Other,Other
group_1142,,Other,Other
group_1143,,Other,Other
group_1144,S,Lipoprotein,Surface
group_1145,,Other,Other
group_1146,,Other,Other
group_1147,,Other,Other
group_1148,,Other,Other
group_1149,,Other,Other
group_115,,Other,Other
group_1150,,Lipoprotein,Other
group_1151,,Other,Other
group_1152,,Lipoprotein,Other
group_1153,,Other,Other
group_1154,,Other,Other
group_1155,,Lipoprotein,Other
group_1156,,Other,Other
group_1157,,Other,Other
group_1158,,Other,Other
group_1159,,Other,Other
group_116,,Other,Other
group_1160,,Other,Other
group_1161,P-IM,Lipoprotein,Other
group_1162,,Other,Other
group_1163,,Other,Other
group_1164,,Other,Other
group_1165,,Other,Other
group_1166,,Other,Other
group_1167,,Other,Other
group_1168,,Other,Other
group_1169,,Other,Other
group_117,,Other,Other
group_1170,,Other,Other
group_1171,,Other,Other
group_1172,,Other,Other
group_1173,,Other,Other
group_1174,,Other,Other
group_1175,,Other,Other
group_1176,,Other,Other
group_1177,,Other,Other
group_1178,,Other,Other
group_1179,,Other,Other
group_118,,Other,Other
group_1180,,Other,Other
group_1181,,Other,Other
group_1182,,Other,Other
group_1183,,Other,Other
group_1184,S,Lipoprotein,Surface
group_1185,,Other,Other
group_1186,,Other,Other
group_1187,,Other,Other
group_1188,,Other,Other
group_1189,,Other,Other
group_119,,Other,Other
group_1190,,Other,Other
group_1191,,Other,Other
group_1192,P-IM,Lipoprotein,Other
group_1193,S,Lipoprotein,Surface
group_1194,P-OM,Lipoprotein,Other
group_1195,,Other,Other
group_1196,S,Lipoprotein,Surface
group_1197,P-IM,Lipoprotein,Other
group_1198,,Other,Other
group_1199,,Other,Other
group_12,,Other,Other
group_120,,Other,Other
group_1200,,Other,Other
group_1201,,Lipoprotein,Other
group_1202,,Other,Other
group_1203,,Other,Other
group_1204,,Lipoprotein,Other
group_1205,,Other,Other
group_1206,,Other,Other
group_1207,,Other,Other
group_1208,,Other,Other
group_1209,S,Lipoprotein,Surface
group_121,,Other,Other
group_1210,,Other,Other
group_1211,,Other,Other
group_1212,,Other,Other
group_1213,,Other,Other
group_1214,,Other,Other
group_1215,,Other,Other
group_1216,S,Lipoprotein,Surface
group_1217,,Other,Other
group_1218,,Other,Other
group_1219,,Other,Other
group_122,,Other,Other
group_1220,,Lipoprotein,Other
group_1221,,Lipoprotein,Other
group_1222,,Other,Other
group_1223,,Other,Other
group_1224,,Other,Other
group_1225,,Other,Other
group_1226,,Other,Other
group_1227,,Other,Other
group_1228,,Other,Other
group_1229,,Lipoprotein,Other
group_123,,Other,Other
group_1230,S,Lipoprotein,Surface
group_1231,,Lipoprotein,Other
group_1232,,Other,Other
group_1233,,Other,Other
group_1234,,Other,Other
group_1235,,Lipoprotein,Other
group_1236,,Other,Other
group_1237,P-IM,Lipoprotein,Other
group_1238,,Other,Other
group_1239,,Other,Other
group_124,,Other,Other
group_1240,,Other,Other
group_1241,,Other,Other
group_1242,,Other,Other
group_1243,S,Lipoprotein,Surface
group_1244,,Other,Other
group_1245,,Other,Other
group_1246,S,Lipoprotein,Surface
group_1247,P-IM,Lipoprotein,Other
group_1248,,Other,Other
group_1249,P-IM,Lipoprotein,Other
group_125,,Other,Other
group_1250,S,Lipoprotein,Surface
group_1251,S,Lipoprotein,Surface
group_1252,,Lipoprotein,Other
group_1253,,Other,Other
group_1254,,Other,Other
group_1255,,Other,Other
group_1256,,Other,Other
group_1257,,Other,Other
group_1258,,Other,Other
group_1259,,Other,Other
group_126,,Other,Other
group_1260,,Other,Other
group_1261,S,Lipoprotein,Surface
group_1262,,Other,Other
group_1263,P-OM,Lipoprotein,Other
group_1264,,Other,Other
group_1265,S,Lipoprotein,Surface
group_1266,S,Lipoprotein,Surface
group_1267,,Other,Other
group_1268,,Other,Other
group_1269,,Other,Other
group_127,,Other,Other
group_1270,,Other,Other
group_1271,,Other,Other
group_1272,,Other,Other
group_1273,,Other,Other
group_1274,,Other,Other
group_1275,,Other,Other
group_1276,,Other,Other
group_1277,,Other,Other
group_1278,,Other,Other
group_1279,S,Lipoprotein,Surface
group_128,,Lipoprotein,Other
group_1280,S,Lipoprotein,Surface
group_1281,S,Lipoprotein,Surface
group_1282,,Other,Other
group_1283,S,Lipoprotein,Surface
group_1284,S,Lipoprotein,Surface
group_1285,P-IM,Lipoprotein,Other
group_1286,,Other,Other
group_1287,,Other,Other
group_1288,,Other,Other
group_1289,,Other,Other
group_129,,Other,Other
group_1290,,Lipoprotein,Other
group_1291,,Lipoprotein,Other
group_1292,,Other,Other
group_1293,,Other,Other
group_1294,,Other,Other
group_1295,,Other,Other
group_1296,,Other,Other
group_1297,,Other,Other
group_1298,,Other,Other
group_1299,,Other,Other
group_13,,Other,Other
group_130,,Other,Other
group_1300,,Other,Other
group_1301,,Other,Other
group_1302,,Other,Other
group_1303,S,Lipoprotein,Surface
group_1304,S,Lipoprotein,Surface
group_1305,,Other,Other
group_1306,,Other,Other
group_1307,,Other,Other
group_1308,,Other,Other
group_1309,,Other,Other
group_131,,Other,Other
group_1310,,Lipoprotein,Other
group_1311,,Other,Other
group_1312,,Other,Other
group_1313,,Other,Other
group_1314,,Other,Other
group_1315,S,Lipoprotein,Surface
group_1316,,Other,Other
group_1317,,Other,Other
group_1318,,Other,Other
group_1319,S,Lipoprotein,Surface
group_132,,Other,Other
group_1320,,Other,Other
group_1321,S,Lipoprotein,Surface
group_1322,,Other,Other
group_1323,,Other,Other
group_1324,,Other,Other
group_1325,S,Lipoprotein,Surface
group_1326,,Lipoprotein,Other
group_133,,Other,Other
group_134,,Other,Other
group_135,S,Lipoprotein,Surface
group_136,,Other,Other
group_137,,Other,Other
group_138,,Other,Other
group_139,,Other,Other
group_14,,Other,Other
group_140,,Other,Other
group_141,,Other,Other
group_142,,Other,Other
group_143,,Other,Other
group_144,,Other,Other
group_145,,Other,Other
group_146,,Other,Other
group_147,,Other,Other
group_148,,Other,Other
group_149,,Other,Other
group_15,,Other,Other
group_150,,Other,Other
group_151,,Other,Other
group_152,,Other,Other
group_153,,Other,Other
group_154,,Other,Other
group_155,,Other,Other
group_156,,Other,Other
group_157,,Other,Other
group_158,S,Lipoprotein,Surface
group_159,S,Lipoprotein,Surface
group_16,,Other,Other
group_160,,Other,Other
group_161,,Other,Other
group_162,,Other,Other
group_163,,Other,Other
group_164,S,Lipoprotein,Surface
group_165,,Other,Other
group_166,,Other,Other
group_167,,Other,Other
group_168,,Lipoprotein,Other
group_169,,Other,Other
group_17,,Other,Other
group_170,,Other,Other
group_171,,Other,Other
group_172,,Other,Other
group_173,,Other,Other
group_174,,Other,Other
group_175,,Other,Other
group_176,,Other,Other
group_177,,Other,Other
group_178,,Other,Other
group_179,,Other,Other
group_18,,Other,Other
group_180,,Other,Other
group_181,,Other,Other
group_182,,Other,Other
group_183,,Other,Other
group_184,,Other,Other
group_185,,Other,Other
group_186,,Other,Other
group_187,,Other,Other
group_188,,Other,Other
group_189,,Other,Other
group_19,,Other,Other
group_190,,Other,Other
group_191,,Other,Other
group_192,,Other,Other
group_193,,Other,Other
group_194,,Other,Other
group_195,,Other,Other
group_196,,Other,Other
group_197,,Other,Other
group_198,,Other,Other
group_199,,Other,Other
group_2,,Other,Other
group_20,,Other,Other
group_200,,Other,Other
group_201,,Other,Other
group_202,,Other,Other
group_203,,Other,Other
group_204,,Other,Other
group_205,,Other,Other
group_206,,Other,Other
group_207,,Other,Other
group_208,,Other,Other
group_209,,Other,Other
group_21,,Other,Other
group_210,,Other,Other
group_211,,Other,Other
group_212,S,Lipoprotein,Surface
group_213,,Other,Other
group_214,,Other,Other
group_215,,Other,Other
group_216,,Lipoprotein,Other
group_217,,Other,Other
group_218,,Other,Other
group_219,,Other,Other
group_22,S,Lipoprotein,Surface
group_220,,Other,Other
group_221,,Other,Other
group_222,,Other,Other
group_223,,Other,Other
group_224,,Other,Other
group_225,,Other,Other
group_226,,Other,Other
group_227,S,Lipoprotein,Surface
group_228,,Other,Other
group_229,,Other,Other
group_23,,Other,Other
group_230,,Other,Other
group_231,,Other,Other
group_232,,Other,Other
group_233,,Other,Other
group_234,,Other,Other
group_235,,Other,Other
group_236,,Other,Other
group_237,,Lipoprotein,Other
group_238,,Other,Other
group_239,,Other,Other
group_24,,Lipoprotein,Other
group_240,,Other,Other
group_241,,Other,Other
group_242,S,Lipoprotein,Surface
group_243,,Other,Other
group_244,,Other,Other
group_245,,Other,Other
group_246,,Other,Other
group_247,,Other,Other
group_248,,Other,Other
group_249,,Lipoprotein,Other
group_25,,Other,Other
group_250,,Other,Other
group_251,,Other,Other
group_252,,Other,Other
group_253,,Other,Other
group_254,,Other,Other
group_255,,Other,Other
group_256,,Other,Other
group_257,,Other,Other
group_258,,Other,Other
group_259,,Other,Other
group_26,,Other,Other
group_260,,Other,Other
group_261,S,Lipoprotein,Surface
group_262,,Other,Other
group_263,,Other,Other
group_264,,Other,Other
group_265,,Other,Other
group_266,,Other,Other
group_267,,Other,Other
group_268,,Other,Other
group_269,S,Lipoprotein,Surface
group_27,S,Lipoprotein,Surface
group_270,,Other,Other
group_271,,Other,Other
group_272,,Other,Other
group_273,,Other,Other
group_274,,Other,Other
group_275,,Other,Other
group_276,,Other,Other
group_277,,Other,Other
group_278,,Other,Other
group_279,,Other,Other
group_28,,Other,Other
group_280,,Lipoprotein,Other
group_281,,Other,Other
group_282,S,Lipoprotein,Surface
group_283,,Other,Other
group_284,,Other,Other
group_285,,Other,Other
group_286,,Other,Other
group_287,,Other,Other
group_288,,Other,Other
group_289,,Other,Other
group_29,S,Lipoprotein,Surface
group_290,,Other,Other
group_291,,Other,Other
group_292,,Other,Other
group_293,,Other,Other
group_294,,Other,Other
group_295,,Other,Other
group_296,,Other,Other
group_297,,Other,Other
group_298,,Other,Other
group_299,,Other,Other
group_3,,Other,Other
group_30,,Other,Other
group_300,,Other,Other
group_301,S,Lipoprotein,Surface
group_302,,Other,Other
group_303,S,Lipoprotein,Surface
group_304,,Other,Other
group_305,,Other,Other
group_306,,Other,Other
group_307,,Other,Other
group_308,,Other,Other
group_309,,Other,Other
group_31,,Other,Other
group_310,,Other,Other
group_311,,Other,Other
group_312,,Other,Other
group_313,S,Lipoprotein,Surface
group_314,S,Lipoprotein,Surface
group_315,,Other,Other
group_316,,Other,Other
group_317,,Other,Other
group_318,,Other,Other
group_319,,Lipoprotein,Other
group_32,,Other,Other
group_320,,Other,Other
group_321,,Other,Other
group_322,,Other,Other
group_323,,Lipoprotein,Other
group_324,,Lipoprotein,Other
group_325,,Other,Other
group_326,,Other,Other
group_327,,Other,Other
group_328,,Other,Other
group_329,S,Lipoprotein,Surface
group_33,,Other,Other
group_330,,Other,Other
group_331,,Other,Other
group_332,,Other,Other
group_333,,Other,Other
group_334,,Other,Other
group_335,,Other,Other
group_336,,Other,Other
group_337,,Other,Other
group_338,,Other,Other
group_339,S,Lipoprotein,Surface
group_34,,Other,Other
group_340,,Other,Other
group_341,,Other,Other
group_342,,Other,Other
group_343,,Other,Other
group_344,,Other,Other
group_345,,Other,Other
group_346,,Other,Other
group_347,,Other,Other
group_348,,Other,Other
group_349,,Other,Other
group_35,P-IM,Lipoprotein,Other
group_350,,Lipoprotein,Other
group_351,S,Lipoprotein,Surface
group_352,S,Lipoprotein,Surface
group_353,P-IM,Lipoprotein,Other
group_354,,Other,Other
group_355,,Other,Other
group_356,,Other,Other
group_357,,Other,Other
group_358,,Lipoprotein,Other
group_359,,Other,Other
group_36,,Other,Other
group_360,,Other,Other
group_361,,Other,Other
group_362,,Other,Other
group_363,S,Lipoprotein,Surface
group_364,,Other,Other
group_365,,Other,Other
group_366,,Other,Other
group_367,,Other,Other
group_368,,Other,Other
group_369,S,Lipoprotein,Surface
group_37,S,Lipoprotein,Surface
group_370,S,Lipoprotein,Surface
group_371,,Other,Other
group_372,,Other,Other
group_373,,Other,Other
group_374,,Other,Other
group_375,,Other,Other
group_376,,Other,Other
group_377,,Other,Other
group_378,,Other,Other
group_379,,Other,Other
group_38,,Other,Other
group_380,,Other,Other
group_381,,Other,Other
group_382,,Other,Other
group_383,,Other,Other
group_384,,Other,Other
group_385,,Lipoprotein,Other
group_386,,Other,Other
group_387,,Other,Other
group_388,,Other,Other
group_389,,Other,Other
group_39,,Other,Other
group_390,,Other,Other
group_391,,Other,Other
group_392,,Other,Other
group_393,,Other,Other
group_394,,Other,Other
group_395,,Other,Other
group_396,,Other,Other
group_397,,Other,Other
group_398,,Other,Other
group_399,,Other,Other
group_4,,Other,Other
group_40,,Lipoprotein,Other
group_400,,Other,Other
group_401,,Other,Other
group_402,,Other,Other
group_403,,Other,Other
group_404,,Other,Other
group_405,,Other,Other
group_406,,Other,Other
group_407,,Other,Other
group_408,,Lipoprotein,Other
group_409,,Other,Other
group_41,,Other,Other
group_410,,Other,Other
group_411,,Other,Other
group_412,,Other,Other
group_413,,Other,Other
group_414,,Other,Other
group_415,,Other,Other
group_416,,Other,Other
group_417,,Other,Other
group_418,,Other,Other
group_419,,Other,Other
group_42,,Other,Other
group_420,,Other,Other
group_421,,Other,Other
group_422,,Other,Other
group_423,,Other,Other
group_424,,Other,Other
group_425,,Other,Other
group_426,,Other,Other
group_427,,Other,Other
group_428,,Other,Other
group_429,,Other,Other
group_43,,Other,Other
group_430,,Other,Other
group_431,S,Lipoprotein,Surface
group_432,,Other,Other
group_433,,Other,Other
group_434,,Other,Other
group_435,,Other,Other
group_436,S,Lipoprotein,Surface
group_437,,Other,Other
group_438,,Other,Other
group_439,,Other,Other
group_44,,Other,Other
group_440,,Other,Other
group_441,,Other,Other
group_442,,Other,Other
group_443,,Other,Other
group_444,,Other,Other
group_445,,Other,Other
group_446,,Lipoprotein,Other
group_447,,Other,Other
group_448,,Other,Other
group_449,,Other,Other
group_45,,Other,Other
group_450,,Other,Other
group_451,,Other,Other
group_452,,Other,Other
group_453,,Other,Other
group_454,,Other,Other
group_455,,Other,Other
group_456,,Other,Other
group_457,S,Lipoprotein,Surface
group_458,,Other,Other
group_459,,Other,Other
group_46,,Other,Other
group_460,S,Lipoprotein,Surface
group_461,,Other,Other
group_462,,Other,Other
group_463,,Other,Other
group_464,,Other,Other
group_465,,Other,Other
group_466,,Other,Other
group_467,,Other,Other
group_468,,Other,Other
group_469,S,Lipoprotein,Surface
group_47,,Other,Other
group_470,,Other,Other
group_471,,Other,Other
group_472,,Other,Other
group_473,,Other,Other
group_474,,Other,Other
group_475,,Other,Other
group_476,,Other,Other
group_477,,Other,Other
group_478,,Other,Other
group_479,,Other,Other
group_48,,Other,Other
group_480,,Other,Other
group_481,,Other,Other
group_482,,Other,Other
group_483,S,Lipoprotein,Surface
group_484,,Other,Other
group_485,,Other,Other
group_486,,Other,Other
group_487,,Other,Other
group_488,,Other,Other
group_489,,Other,Other
group_49,S,Lipoprotein,Surface
group_490,,Other,Other
group_491,,Other,Other
group_492,,Other,Other
group_493,P-IM,Lipoprotein,Other
group_494,S,Lipoprotein,Surface
group_495,,Other,Other
group_496,,Other,Other
group_497,,Other,Other
group_498,,Other,Other
group_499,S,Lipoprotein,Surface
group_5,,Other,Other
group_50,,Other,Other
group_500,P-IM,Lipoprotein,Other
group_501,,Other,Other
group_502,S,Lipoprotein,Surface
group_503,,Other,Other
group_504,P-OM,Lipoprotein,Other
group_505,,Other,Other
group_506,,Other,Other
group_507,,Other,Other
group_508,,Other,Other
group_509,,Other,Other
group_51,,Other,Other
group_510,,Other,Other
group_511,,Other,Other
group_512,,Other,Other
group_513,,Other,Other
group_514,,Other,Other
group_515,,Other,Other
group_516,,Other,Other
group_517,,Other,Other
group_518,,Other,Other
group_519,,Other,Other
group_52,,Other,Other
group_520,,Other,Other
group_521,,Other,Other
group_522,,Other,Other
group_523,,Lipoprotein,Other
group_524,P-IM,Lipoprotein,Other
group_525,,Other,Other
group_526,S,Lipoprotein,Surface
group_527,,Other,Other
group_528,,Other,Other
group_529,,Other,Other
group_53,,Other,Other
group_530,,Other,Other
group_531,,Other,Other
group_532,,Other,Other
group_533,,Other,Other
group_534,,Other,Other
group_535,,Other,Other
group_536,,Other,Other
group_537,,Other,Other
group_538,,Other,Other
group_539,,Other,Other
group_54,,Other,Other
group_540,,Other,Other
group_541,,Other,Other
group_542,,Other,Other
group_543,,Other,Other
group_544,S,Lipoprotein,Surface
group_545,,Other,Other
group_546,,Other,Other
group_547,,Other,Other
group_548,,Other,Other
group_549,,Other,Other
group_55,,Other,Other
group_550,,Other,Other
group_551,,Other,Other
group_552,,Other,Other
group_553,,Other,Other
group_554,P-IM,Lipoprotein,Other
group_555,,Other,Other
group_556,,Other,Other
group_557,,Other,Other
group_558,,Other,Other
group_559,,Other,Other
group_56,,Other,Other
group_560,,Other,Other
group_561,,Other,Other
group_562,,Other,Other
group_563,,Other,Other
group_564,,Other,Other
group_565,,Other,Other
group_566,,Other,Other
group_567,,Other,Other
group_568,,Other,Other
group_569,,Other,Other
group_57,,Other,Other
group_570,,Other,Other
group_571,,Other,Other
group_572,S,Lipoprotein,Surface
group_573,,Other,Other
group_574,,Other,Other
group_575,,Other,Other
group_576,P-IM,Lipoprotein,Other
group_577,,Other,Other
group_578,,Other,Other
group_579,,Other,Other
group_58,,Other,Other
group_580,,Other,Other
group_581,,Other,Other
group_582,,Other,Other
group_583,,Other,Other
group_584,,Other,Other
group_585,,Other,Other
group_586,,Other,Other
group_587,,Other,Other
group_588,,Other,Other
group_589,,Other,Other
group_59,,Lipoprotein,Other
group_590,,Other,Other
group_591,,Other,Other
group_592,,Other,Other
group_593,,Other,Other
group_594,,Other,Other
group_595,,Other,Other
group_596,,Other,Other
group_597,,Lipoprotein,Other
group_598,,Other,Other
group_599,,Other,Other
group_6,,Other,Other
group_60,,Other,Other
group_600,,Other,Other
group_601,,Other,Other
group_602,,Other,Other
group_603,,Other,Other
group_604,,Other,Other
group_605,,Other,Other
group_606,,Other,Other
group_607,,Other,Other
group_608,P-IM,Lipoprotein,Other
group_609,,Other,Other
group_61,,Other,Other
group_610,S,Lipoprotein,Surface
group_611,,Other,Other
group_612,,Other,Other
group_613,,Other,Other
