assembly_id,contig_id,contig_len,plasmid_id,plasmid_name,strain,query_length,ref_length,overall_percent_identity,query_covered_length,ref_covered_length,covered_intervals,query_intervals,subject_hit_coords,query_coverage_percent,call_method
ESI26H,contig_1 [gcode=11] [topology=linear],910396,gb|CP124100.1|,chromosome,NE_5261,910396.0,910422.0,99.95206999082606,910395.0,910419.0,"[(1, 910420)]","[(1, 910396)]","[(1, 910420), (438379, 441570), (435132, 438325), (213346, 214318), (213184, 214157), (213184, 213995), (213508, 214318), (213670, 214318), (213184, 213833), (213184, 213671)]",99.99989015768962,pf32
ESI26H,contig_10 [gcode=11] [topology=linear],24163,gb|CP001564.1|,lp17,Bol26,24163.0,17287.0,98.66715894406498,24160.0,17286.0,"[(1, 17287)]","[(4756, 22086), (22087, 24163), (1, 4755)]","[(1, 13714), (4755, 1), (13532, 17287), (17287, 15211), (486, 1166), (1166, 486), (2604, 3293), (3293, 2604)]",99.98758432313868,pf32
ESI26H,contig_11 [gcode=11] [topology=linear],18933,gb|CP001570.1|,cp32-9,Bol26,18933.0,30597.0,99.92605894158656,18931.0,18931.0,"[(1, 5188), (16853, 30597)]","[(1, 5187), (5188, 18933)]","[(30597, 16853), (5188, 1)]",99.98943643374002,pf32
ESI26H,contig_12 [gcode=11] [topology=linear],11699,gb|CP001206.1|,cp32-1,ZS7,11699.0,30330.0,99.88033165227796,11698.0,11697.0,"[(16729, 28426)]","[(1, 11699)]","[(28426, 16729)]",99.991452260877,pf32
ESI26H,contig_13 [gcode=11] [topology=linear],3042,gb|CP124099.1|,lp54,NE_5261,3042.0,53730.0,100.0,3040.0,1520.0,"[(1, 1521)]","[(1522, 3042), (1, 1521)]","[(1, 1521), (1521, 1)]",99.93425378040762,wp
ESI26H,contig_14 [gcode=11] [topology=linear],2402,gb|CP001572.1|,cp32-5,Bol26,2402.0,30186.0,99.7502081598668,2401.0,2401.0,"[(1206, 3607)]","[(1, 2402)]","[(3607, 1206)]",99.95836802664446,wp
ESI26H,contig_15 [gcode=11] [topology=linear],1297,gb|CP019921.1|,cp32-9-4,PAbe,1297.0,62238.0,98.96519285042334,1296.0,3186.0,"[(60256, 61552), (29950, 31246), (1, 595)]","[(1, 1297)]","[(60256, 61552), (29950, 31246), (1, 595)]",99.92289899768696,wp
ESI26H,contig_16 [gcode=11] [topology=linear],1254,gb|CP001570.1|,cp32-9,Bol26,1254.0,30597.0,99.601593625498,1253.0,1253.0,"[(14170, 15423)]","[(1, 1254)]","[(14170, 15423)]",99.92025518341308,wp
ESI26H,contig_17 [gcode=11] [topology=linear],1083,gb|CP001572.1|,cp32-5,Bol26,1083.0,30186.0,100.0,1082.0,1082.0,"[(14450, 15532)]","[(1, 1083)]","[(14450, 15532)]",99.90766389658356,wp
ESI26H,contig_18 [gcode=11] [topology=linear],1081,gb|CP019847.1|,cp32-3,PAli,1081.0,30418.0,99.72247918593897,1080.0,1080.0,"[(5412, 6492)]","[(1, 1081)]","[(5412, 6492)]",99.90749306197964,wp
ESI26H,contig_19 [gcode=11] [topology=linear],1044,gb|CP001211.1|,cp32-9,ZS7,1044.0,30467.0,99.90421455938696,1043.0,1043.0,"[(8062, 9105)]","[(1, 1044)]","[(9105, 8062)]",99.90421455938696,wp
ESI26H,contig_2 [gcode=11] [topology=linear],61321,gb|CP001565.1|,cp32-1+5,Bol26,61321.0,31433.0,96.769891075734,58350.0,31432.0,"[(1, 31433)]","[(1, 10018), (13829, 17746), (10019, 12397), (39901, 61321), (29828, 39900), (18633, 21939), (22464, 29704)]","[(31433, 10018), (10017, 1), (10071, 1), (17464, 10207), (26899, 22966), (31433, 29079), (22039, 18743)]",95.15500399536865,pf32
ESI26H,contig_3 [gcode=11] [topology=linear],51152,gb|CP001566.1|,lp28-9,Bol26,51152.0,28200.0,97.98556124825338,42639.0,28199.0,"[(1, 28200)]","[(4896, 6181), (10850, 51152), (9650, 10702)]","[(7274, 26184), (3406, 19390), (1, 3466), (26069, 28200), (2609, 1325), (6037, 7093)]",83.35744447919924,pf32
ESI26H,contig_4 [gcode=11] [topology=linear],34728,gb|CP001567.1|,lp36,Bol26,34728.0,36936.0,97.55926463473634,34727.0,34724.0,"[(2172, 36896)]","[(1, 34728)]","[(36896, 2172), (33617, 31115), (31263, 28754), (5335, 6070), (7341, 8081)]",99.99712047915229,pf32
ESI26H,contig_5 [gcode=11] [topology=linear],30286,gb|CP001492.1|,cp32-6,94a,30286.0,30433.0,93.78773847008704,26866.0,26796.0,"[(1, 15621), (17901, 21650), (15622, 17379), (28384, 30433), (22931, 26552)]","[(7181, 7426), (12622, 14671), (2080, 5820), (14672, 30286), (7488, 10943), (1, 1764)]","[(1, 15621), (17901, 21650), (23086, 26552), (28384, 30433), (15622, 17379), (22931, 23179)]",88.70765370138017,pf32
ESI26H,contig_6 [gcode=11] [topology=linear],27753,gb|CP001202.1|,cp32-3+10,ZS7,27753.0,48168.0,94.91495615908347,27752.0,39675.0,"[(8901, 9426), (46175, 48168), (1, 2096), (2123, 4984), (35424, 44779), (12358, 13113), (5259, 5773), (13846, 35423)]","[(1, 27753)]","[(35423, 13846), (44779, 35424), (4984, 2123), (2096, 1), (48168, 46175), (13113, 12358), (9426, 8901), (5773, 5259)]",99.99639678593304,pf32
ESI26H,contig_7 [gcode=11] [topology=linear],26979,gb|CP002314.1|,lp28-3,JD1,26979.0,28797.0,91.96559835342546,13464.0,13503.0,"[(8327, 9047), (22299, 22778), (10289, 10761), (10800, 13511), (25360, 26042), (20744, 22255), (13745, 20673)]","[(22634, 23316), (6681, 9848), (20470, 20950), (11738, 20150), (9885, 10608)]","[(13745, 20673), (13511, 10800), (20744, 22255), (9047, 8327), (10761, 10289), (22299, 22778), (25360, 26042)]",49.9054820415879,pf32
ESI26H,contig_8 [gcode=11] [topology=linear],26691,gb|CP001272.1|,lp28-4,156a,26691.0,29501.0,97.92672260196314,26690.0,26804.0,"[(9446, 27346), (42, 8946)]","[(1, 26691)]","[(27346, 9446), (8946, 42), (25870, 24662), (24779, 23598), (9572, 10358), (18574, 19366)]",99.9962534187554,pf32
ESI26H,contig_9 [gcode=11] [topology=linear],26508,gb|CP124101.1|,cp26,NE_5248,26508.0,26504.0,97.65603613468382,26506.0,26502.0,"[(10467, 26504), (1, 10466)]","[(1, 10466), (10467, 26508)]","[(26504, 10467), (10466, 1), (19306, 17960), (20771, 19428)]",99.99245510789196,pf32
ESI361H,contig_1 [gcode=11] [topology=linear],909934,gb|CP031412.1|,chromosome,MM1,909934.0,908512.0,99.66119704570792,908182.0,908511.0,"[(1, 908512)]","[(905282, 909105), (235, 904594)]","[(213217, 904705), (1, 213704), (904690, 908512), (434869, 438062), (438118, 441309), (213055, 213866), (213379, 214028), (212893, 213542), (213541, 214027), (212897, 213380)]",99.80745856292874,pf32
ESI361H,contig_10 [gcode=11] [topology=linear],3866,gb|CP001268.1|,cp32-7,156a,3866.0,21329.0,98.78364389233954,3863.0,3861.0,"[(11285, 15146)]","[(1, 3864)]","[(15146, 11285)]",99.92240041386444,pf32
ESI361H,contig_11 [gcode=11] [topology=linear],3395,gb|CP001208.1|,cp32-4,ZS7,3395.0,30964.0,97.91360564208053,3394.0,3389.0,"[(16641, 20030)]","[(1, 3395)]","[(16641, 20030)]",99.97054491899851,wp
ESI361H,contig_2 [gcode=11] [topology=linear],56559,gb|CP001272.1|,lp36,156a,56559.0,29501.0,97.45266997924398,27673.0,27753.0,"[(9527, 29501), (8637, 8866), (966, 1659), (1708, 8565)]","[(28407, 29098), (29528, 56510)]","[(9527, 29501), (1708, 8565), (24662, 25870), (23598, 24779), (966, 1659), (10358, 9572), (19366, 18574), (8637, 8866)]",48.927668452412526,pf32
ESI361H,contig_3 [gcode=11] [topology=linear],52615,gb|CP124103.1|,lp54,NE_5248,52615.0,53675.0,99.20433928031449,52614.0,52869.0,"[(49335, 53615), (2, 48591)]","[(1, 52615)]","[(48591, 2), (53615, 49335)]",99.9980994013114,pf32
ESI361H,contig_4 [gcode=11] [topology=linear],29589,gb|CP001491.1|,lp56,94a,29589.0,30648.0,95.18331276621154,25023.0,25053.0,"[(18109, 19069), (19074, 20820), (10362, 14752), (21583, 26164), (15453, 16469), (1, 10350), (28637, 30648)]","[(5, 969), (3825, 18548), (18549, 20559), (2772, 3788), (22517, 27081), (27843, 29589)]","[(10350, 1), (14752, 10362), (26164, 21583), (30648, 28637), (20820, 19074), (16469, 15453), (19069, 18109)]",84.56858967859677,pf32
ESI361H,contig_5 [gcode=11] [topology=linear],28638,gb|CP094585.1|,cp32-1+5,B379,28638.0,30637.0,93.68463395012068,27058.0,27246.0,"[(26710, 28035), (1, 2146), (15044, 16463), (3429, 9965), (17267, 26226), (28241, 30637), (10275, 14741)]","[(666, 2084), (15782, 18154), (2390, 6861), (18374, 28570), (7180, 15781)]","[(26226, 17267), (9965, 3429), (14741, 10275), (2146, 1), (30637, 28241), (16463, 15044), (28035, 26710)]",94.48285494797123,pf32
ESI361H,contig_6 [gcode=11] [topology=linear],28079,gb|CP001572.1|,cp32-11,Bol26,28079.0,30186.0,94.02188316359369,26166.0,26279.0,"[(21798, 22548), (1, 2146), (25096, 26370), (13906, 21589), (27808, 30186), (3429, 13905), (23029, 24602)]","[(13178, 15532), (10899, 12173), (15533, 28079), (1, 7679), (9235, 10788), (7893, 8654)]","[(3429, 13905), (13906, 21589), (1, 2146), (27808, 30186), (25096, 26370), (23029, 24602), (21798, 22548)]",93.18707931194132,pf32
ESI361H,contig_7 [gcode=11] [topology=linear],26516,gb|CP031398.1|,cp26,MM1,26516.0,26507.0,97.24142651789992,26514.0,26505.0,"[(9139, 26507), (1, 9138)]","[(17379, 26516), (1, 17378)]","[(9139, 26507), (1, 9138), (19389, 20728), (17938, 19257)]",99.99245738422084,pf32
ESI361H,contig_8 [gcode=11] [topology=linear],24840,gb|CP001265.1|,lp25,156a,24840.0,24910.0,97.73995727968028,24839.0,24841.0,"[(46, 24887)]","[(1, 24840)]","[(46, 24887), (18130, 19390), (20780, 22040), (11997, 11189), (17091, 16278)]",99.99597423510468,pf32
ESI361H,contig_9 [gcode=11] [topology=linear],18047,gb|CP001497.1|,lp17,94a,18047.0,18110.0,99.4017283403501,18021.0,18038.0,"[(1, 18039)]","[(1, 18022)]","[(18039, 1)]",99.85593173380616,pf32
ESI403H,contig_1 [gcode=11] [topology=linear],910442,gb|CP001205.1|,chromosome,ZS7,910442.0,906707.0,99.94248938792278,909774.0,906426.0,"[(1, 906093), (906094, 906428)]","[(138340, 438182), (909796, 910130), (49, 138088), (438236, 909795)]","[(552989, 906093), (212885, 437686), (1, 138039), (434493, 553112), (138037, 213684), (213047, 213695), (212885, 213522), (213209, 213695), (212885, 213372), (906428, 906094)]",99.92662904391494,pf32
ESI403H,contig_10 [gcode=11] [topology=linear],29808,gb|CP094610.1|,lp28-2,B31-5A4,29808.0,29936.0,99.66123297779566,29807.0,29804.0,"[(69, 29873)]","[(1, 29808)]","[(29873, 69)]",99.99664519592056,pf32
ESI403H,contig_11 [gcode=11] [topology=linear],26514,gb|CP001212.1|,cp26,ZS7,26514.0,26514.0,98.2233328768999,26512.0,26512.0,"[(4745, 26514), (1, 4744)]","[(4745, 26514), (1, 4744)]","[(26514, 4745), (4744, 1), (20782, 19443), (19317, 17976)]",99.9924568152674,pf32
ESI403H,contig_12 [gcode=11] [topology=linear],25492,gb|CP001207.1|,lp28-4,ZS7,25492.0,28885.0,98.0158193618172,25491.0,25555.0,"[(1133, 1724), (1752, 26716)]","[(1, 25492)]","[(26716, 1752), (24179, 22968), (25240, 24062), (1724, 1133), (8952, 9738), (17944, 18736)]",99.9960772006904,pf32
ESI403H,contig_13 [gcode=11] [topology=linear],24417,gb|CP001198.1|,lp25,ZS7,24417.0,24326.0,98.97544871551624,24318.0,24325.0,"[(1, 24326)]","[(60, 24378)]","[(24326, 1), (16577, 17581), (11292, 12299)]",99.59454478437154,pf32
ESI403H,contig_14 [gcode=11] [topology=linear],23639,gb|CP001208.1|,cp32-7,ZS7,23639.0,30964.0,98.64815155416588,21711.0,21714.0,"[(9273, 20980), (1, 1920), (22876, 30964)]","[(1, 11718), (13644, 21719), (21720, 23639)]","[(9273, 20980), (22876, 30964), (1, 1920)]",91.84398663226024,pf32
