assembly_id,contig_id,contig_len,plasmid_id,plasmid_name,strain,query_length,ref_length,overall_percent_identity,query_covered_length,ref_covered_length,covered_intervals,query_intervals,subject_hit_coords,query_coverage_percent,call_method
B418P,contig_1 [gcode=11] [topology=linear],902773,B379_chromosome_ParA_2,chromosome,B379,902773,380,99.4535519125683,1097,365,"[(1, 366)]","[(368276, 369373)]","[(1, 366)]",0.1215144892459123,pf32
B418P,contig_10 [gcode=11] [topology=linear],20530,RS06485_N40_N40_lp17_ParA_X,lp17,RS06485,20530,246,100.0,725,241,"[(1, 242)]","[(16972, 17697)]","[(1, 242)]",3.5314174378957626,pf32
B418P,contig_11 [gcode=11] [topology=linear],24215,RS00040_ZS7_ZS7_lp25_ParA_X,lp25,RS00040,24215,252,100.0,755,251,"[(1, 252)]","[(11910, 12665)]","[(1, 252)]",3.117902126780921,pf32
B418P,contig_12 [gcode=11] [topology=linear],29777,RS05185_N40_N40_lp28-2_ParA_X,lp28-2,RS05185,29777,255,100.0,764,254,"[(1, 255)]","[(6052, 6816)]","[(1, 255)]",2.5657386573529903,pf32
B418P,contig_13 [gcode=11] [topology=linear],30920,RS04755_29805_29805_lp28-3_ParA_X,lp28-3,RS04755,30920,251,100.0,752,250,"[(1, 251)]","[(8648, 9400)]","[(1, 251)]",2.4320827943078918,pf32
B418P,contig_14 [gcode=11] [topology=linear],29677,I21_B31_lp28-4_ParA_X,lp28-4,I21,29677,250,100.0,749,249,"[(1, 250)]","[(14246, 14995)]","[(1, 250)]",2.5238400107827608,pf32
B418P,contig_15 [gcode=11] [topology=linear],29290,RS06425_B331_B331_lp28_6_ParA_X,lp28-6,RS06425,29290,251,100.0,752,250,"[(1, 251)]","[(22966, 23718)]","[(1, 251)]",2.567429156708774,pf32
B418P,contig_16 [gcode=11] [topology=linear],31165,RS01335_MM1_plsm_lp36_ParA_X,lp36,RS01335,31165,249,100.0,728,242,"[(1, 243)]","[(10968, 11696)]","[(1, 243)]",2.335953794320552,pf32
B418P,contig_17 [gcode=11] [topology=linear],37889,RS05780_N40_N40_lp38_ParA_X,lp38,RS05780,37889,245,100.0,734,244,"[(1, 245)]","[(11295, 12029)]","[(1, 245)]",1.9372377207104965,pf32
B418P,contig_18 [gcode=11] [topology=linear],53805,A20_B31_lp54_ParA_X,lp54,A20,53805,250,100.0,749,249,"[(1, 250)]","[(13597, 14346)]","[(1, 250)]",1.3920639345785708,pf32
B418P,contig_2 [gcode=11] [topology=linear],26498,N40_cp26_ParA_1,cp26,N40,26498,253,100.0,758,252,"[(1, 253)]","[(1562, 2320)]","[(1, 253)]",2.86059325232093,pf32
B418P,contig_3 [gcode=11] [topology=linear],30154,RS06365_N40_N40_cp32-10_ParA_X,cp32-10,RS06365,30154,251,100.0,752,250,"[(1, 251)]","[(23230, 23982)]","[(1, 251)]",2.493864827220269,pf32
B418P,contig_4 [gcode=11] [topology=linear],27767,RS06035_N40_N40_cp32-12_ParA_X,cp32-12,RS06035,27767,260,100.0,779,259,"[(1, 260)]","[(16586, 17365)]","[(1, 260)]",2.805488529549465,pf32
B418P,contig_5 [gcode=11] [topology=linear],15915,RS02205_MM1_plsm_cp32-4_ParA_X,cp32-4,RS02205,15915,251,100.0,752,250,"[(1, 251)]","[(1349, 2101)]","[(1, 251)]",4.7251021049324535,pf32
B418P,contig_6 [gcode=11] [topology=linear],29615,RS01295_JD1_JD1_cp32-1+5_ParA_X,cp32-1+5,RS01295,29615,257,100.0,770,256,"[(1, 257)]","[(10569, 11339)]","[(1, 257)]",2.600033766672295,pf32
B418P,contig_7 [gcode=11] [topology=linear],17483,O32_B31_cp32-7_ParA_X,cp32-7,O32,17483,249,100.0,746,248,"[(1, 249)]","[(11520, 12266)]","[(1, 249)]",4.267002230738432,pf32
B418P,contig_8 [gcode=11] [topology=linear],30658,RS01730_MM1_plsm_cp32-9_ParA_X,cp32-9,RS01730,30658,251,100.0,743,247,"[(1, 248)]","[(7587, 8330)]","[(1, 248)]",2.4235109922369364,pf32
B418P,contig_9 [gcode=11] [topology=linear],8722,gb|CP002231.1|,cp9,N40,8722,8722,100.0,8720,8720,"[(1, 7820), (7821, 8722)]","[(1, 902), (903, 8722)]","[(1, 7820), (7821, 8722)]",99.9770694794772,wp
B500P,contig_1 [gcode=11] [topology=linear],903660,B500_chromosome_ParA_2,chromosome,B500,903660,380,100.0,1091,363,"[(1, 364)]","[(368949, 370040)]","[(1, 364)]",0.12073124847841,pf32
B500P,contig_10 [gcode=11] [topology=linear],15547,RS00875_MM1_plsm_lp17_ParA_X,lp17,RS00875,15547,246,100.0,725,241,"[(1, 242)]","[(11989, 12714)]","[(1, 242)]",4.663279089213352,pf32
B500P,contig_11 [gcode=11] [topology=linear],24387,B379_chromosome_ParA_5,chromosome,B379,24387,262,100.0,785,261,"[(1, 262)]","[(2898, 3683)]","[(1, 262)]",3.21892811743962,pf32
B500P,contig_12 [gcode=11] [topology=linear],24206,RS00040_ZS7_ZS7_lp25_ParA_X,lp25,RS00040,24206,252,100.0,755,251,"[(1, 252)]","[(11901, 12656)]","[(1, 252)]",3.119061389738081,pf32
B500P,contig_13 [gcode=11] [topology=linear],27653,H28_B31_lp28-3_ParA_X,lp28-3,H28,27653,251,100.0,752,250,"[(1, 251)]","[(16713, 17465)]","[(1, 251)]",2.719415614942321,pf32
B500P,contig_14 [gcode=11] [topology=linear],28165,RS05930_ZS7_ZS7_lp28-4_ParA_X,lp28-4,RS05930,28165,250,100.0,749,249,"[(1, 250)]","[(14654, 15403)]","[(1, 250)]",2.6593289543759986,pf32
B500P,contig_15 [gcode=11] [topology=linear],29288,RS06425_B331_B331_lp28_6_ParA_X,lp28-6,RS06425,29288,251,100.0,752,250,"[(1, 251)]","[(22964, 23716)]","[(1, 251)]",2.567604479650369,pf32
B500P,contig_16 [gcode=11] [topology=linear],30208,RS01335_MM1_plsm_lp36_ParA_X,lp36,RS01335,30208,249,100.0,728,242,"[(1, 243)]","[(11179, 11907)]","[(1, 243)]",2.409957627118644,pf32
B500P,contig_17 [gcode=11] [topology=linear],38930,RS06690_B331_B331_lp38_ParA_X,lp38,RS06690,38930,245,100.0,734,244,"[(1, 245)]","[(11254, 11988)]","[(1, 245)]",1.88543539686617,pf32
B500P,contig_18 [gcode=11] [topology=linear],53758,A20_B31_lp54_ParA_X,lp54,A20,53758,250,100.0,749,249,"[(1, 250)]","[(39435, 40184)]","[(1, 250)]",1.3932810000372038,pf32
B500P,contig_19 [gcode=11] [topology=linear],27715,B500_lp56_ParA_1,lp56,B500,27715,253,100.0,746,248,"[(5, 253)]","[(23955, 24701)]","[(5, 253)]",2.6916832040411327,pf32
B500P,contig_2 [gcode=11] [topology=linear],26512,WI91-23_cp26_ParA_1,cp26,WI91-23,26512,253,100.0,758,252,"[(1, 253)]","[(19688, 20446)]","[(1, 253)]",2.85908267954134,pf32
B500P,contig_3 [gcode=11] [topology=linear],30189,RS04790_B331_B331_cp32_10_ParA_X,cp32-10,RS04790,30189,246,100.0,737,245,"[(1, 246)]","[(29082, 29819)]","[(1, 246)]",2.441286561330286,pf32
B500P,contig_4 [gcode=11] [topology=linear],30176,B500_cp32-11_ParA_1,cp32-11,B500,30176,252,100.0,755,251,"[(1, 252)]","[(23339, 24094)]","[(1, 252)]",2.5019883351007426,pf32
B500P,contig_5 [gcode=11] [topology=linear],29890,RS01500_JD1_JD1_cp32-8_ParA_X,cp32-8,RS01500,29890,246,100.0,731,243,"[(1, 244)]","[(13605, 14336)]","[(1, 244)]",2.4456339913014387,pf32
B500P,contig_6 [gcode=11] [topology=linear],30617,RS05205_B331_B331_cp32_4_ParA_X,cp32-4,RS05205,30617,251,100.0,752,250,"[(1, 251)]","[(13429, 14181)]","[(1, 251)]",2.456151811085345,pf32
B500P,contig_7 [gcode=11] [topology=linear],18340,B500_cp32-5_ParA_1,cp32-5,B500,18340,257,100.0,770,256,"[(1, 257)]","[(4597, 5367)]","[(1, 257)]",4.198473282442748,pf32
B500P,contig_8 [gcode=11] [topology=linear],30008,M32_B31_cp32-6_ParA_X,cp32-6,M32,30008,249,100.0,746,248,"[(1, 249)]","[(17287, 18033)]","[(1, 249)]",2.4860037323380437,pf32
B500P,contig_9 [gcode=11] [topology=linear],30054,O32_B31_cp32-7_ParA_X,cp32-7,O32,30054,249,100.0,746,248,"[(1, 249)]","[(18607, 19353)]","[(1, 249)]",2.482198708990484,pf32
ESI26H,contig_1 [gcode=11] [topology=linear],910396,NE_5261_chromosome_ParA_2,chromosome,NE_5261,910396,380,100.0,1097,365,"[(1, 366)]","[(368852, 369949)]","[(1, 366)]",0.1204970144860039,pf32
ESI26H,contig_10 [gcode=11] [topology=linear],24163,RS00875_MM1_plsm_lp17_ParA_X,lp17,RS00875,24163,246,100.0,725,241,"[(1, 242)]","[(18524, 19249)]","[(1, 242)]",3.000455241484915,pf32
ESI26H,contig_11 [gcode=11] [topology=linear],18933,N32_B31_cp32-9_ParA_X,cp32-9,N32,18933,251,100.0,743,247,"[(1, 248)]","[(14279, 15022)]","[(1, 248)]",3.92436486557862,pf32
ESI26H,contig_12 [gcode=11] [topology=linear],11699,P32_B31_cp32-1_ParA_X,cp32-1,P32,11699,246,100.0,737,245,"[(1, 246)]","[(6785, 7522)]","[(1, 246)]",6.299683733652449,pf32
ESI26H,contig_13 [gcode=11] [topology=linear],3042,gb|CP124099.1|,lp54,NE_5261,3042,53730,100.0,3040,1520,"[(1, 1521)]","[(1522, 3042), (1, 1521)]","[(1, 1521), (1521, 1)]",99.93425378040762,wp
ESI26H,contig_14 [gcode=11] [topology=linear],2402,gb|CP001572.1|,cp32-5,Bol26,2402,30186,99.7502081598668,2401,2401,"[(1206, 3607)]","[(1, 2402)]","[(3607, 1206)]",99.95836802664446,wp
ESI26H,contig_15 [gcode=11] [topology=linear],1297,gb|CP019921.1|,cp32-9-4,PAbe,1297,62238,98.96519285042334,1890,3186,"[(60256, 61552), (29950, 31246), (1, 595)]","[(703, 1297), (1, 1297)]","[(60256, 61552), (29950, 31246), (1, 595)]",145.72089437162683,wp
ESI26H,contig_16 [gcode=11] [topology=linear],1254,gb|CP001570.1|,cp32-9,Bol26,1254,30597,99.601593625498,1253,1253,"[(14170, 15423)]","[(1, 1254)]","[(14170, 15423)]",99.92025518341308,wp
ESI26H,contig_17 [gcode=11] [topology=linear],1083,gb|CP001572.1|,cp32-5,Bol26,1083,30186,100.0,1082,1082,"[(14450, 15532)]","[(1, 1083)]","[(14450, 15532)]",99.90766389658356,wp
ESI26H,contig_18 [gcode=11] [topology=linear],1081,gb|AE001576.1|,cp32-3,B31,1081,30223,99.72247918593897,1080,1080,"[(5412, 6492)]","[(1, 1081)]","[(5412, 6492)]",99.90749306197964,wp
ESI26H,contig_19 [gcode=11] [topology=linear],1044,gb|CP001570.1|,cp32-9,Bol26,1044,30597,99.90421455938696,1043,1043,"[(8062, 9105)]","[(1, 1044)]","[(9105, 8062)]",99.90421455938696,wp
ESI26H,contig_2 [gcode=11] [topology=linear],61321,RS01295_JD1_JD1_cp32-1+5_ParA_X,cp32-1+5,RS01295,61321,257,100.0,770,256,"[(1, 257)]","[(18558, 19328)]","[(1, 257)]",1.255687284943168,pf32
ESI26H,contig_3 [gcode=11] [topology=linear],51152,RS05395_Bol26_Bol26_lp28-9_ParA_X,lp28-9,RS05395,51152,254,100.0,761,253,"[(1, 254)]","[(35231, 35992)]","[(1, 254)]",1.487722865186112,pf32
ESI26H,contig_4 [gcode=11] [topology=linear],34728,K21_B31_lp36_ParA_X,lp36,K21,34728,249,100.0,728,242,"[(1, 243)]","[(22554, 23282)]","[(1, 243)]",2.0962911771481227,pf32
ESI26H,contig_5 [gcode=11] [topology=linear],30286,RS01520_MM1_plsm_cp32-6_ParA_X,cp32-6,RS01520,30286,249,100.0,746,248,"[(1, 249)]","[(5090, 5836)]","[(1, 249)]",2.463184309581985,pf32
ESI26H,contig_6 [gcode=11] [topology=linear],27753,RS01095_ZS7_ZS7_cp32-3+10_ParA_X,cp32-3+10,RS01095,27753,251,100.0,752,250,"[(1, 251)]","[(23067, 23819)]","[(1, 251)]",2.7096169783446835,pf32
ESI26H,contig_7 [gcode=11] [topology=linear],26979,RS06760_Bol26_Bol26_lp28-3_ParA_X,lp28-3,RS06760,26979,251,98.79032258064515,743,247,"[(1, 248)]","[(15942, 16685)]","[(1, 248)]",2.7539938470662366,pf32
ESI26H,contig_8 [gcode=11] [topology=linear],26691,RS05930_ZS7_ZS7_lp28-4_ParA_X,lp28-4,RS05930,26691,250,100.0,749,249,"[(1, 250)]","[(12526, 13275)]","[(1, 250)]",2.8061893522161028,pf32
ESI26H,contig_9 [gcode=11] [topology=linear],26508,NE_5261_cp26_ParA_1,cp26,NE_5261,26508,253,100.0,758,252,"[(1, 253)]","[(434, 1192)]","[(1, 253)]",2.859514108948242,pf32
ESI361H,contig_1 [gcode=11] [topology=linear],909934,B379_chromosome_ParA_2,chromosome,B379,909934,380,99.72677595628416,1097,365,"[(1, 366)]","[(368494, 369591)]","[(1, 366)]",0.1205581943305778,pf32
ESI361H,contig_10 [gcode=11] [topology=linear],3866,O32_B31_cp32-7_ParA_X,cp32-7,O32,3866,249,100.0,746,248,"[(1, 249)]","[(2193, 2939)]","[(1, 249)]",19.296430419037765,pf32
ESI361H,contig_11 [gcode=11] [topology=linear],3395,gb|CP001208.1|,cp32-4,ZS7,3395,30964,97.91360564208053,3394,3389,"[(16641, 20030)]","[(1, 3395)]","[(16641, 20030)]",99.97054491899851,wp
ESI361H,contig_2 [gcode=11] [topology=linear],56559,RS01335_MM1_plsm_lp36_ParA_X,lp36,RS01335,56559,249,100.0,728,242,"[(1, 243)]","[(16492, 17220)]","[(1, 243)]",1.287151470146219,pf32
ESI361H,contig_3 [gcode=11] [topology=linear],52615,A20_B31_lp54_ParA_X,lp54,A20,52615,250,100.0,749,249,"[(1, 250)]","[(38314, 39063)]","[(1, 250)]",1.4235484177515918,pf32
ESI361H,contig_4 [gcode=11] [topology=linear],29589,Q40_B31_lp56_ParA_X,lp56,Q40,29589,251,99.601593625498,752,250,"[(1, 251)]","[(27230, 27982)]","[(1, 251)]",2.541485011321775,pf32
ESI361H,contig_5 [gcode=11] [topology=linear],28638,RS01295_JD1_JD1_cp32-1+5_ParA_X,cp32-1+5,RS01295,28638,257,100.0,770,256,"[(1, 257)]","[(24316, 25086)]","[(1, 257)]",2.688735246874782,pf32
ESI361H,contig_6 [gcode=11] [topology=linear],28079,RS00880_JD1_JD1_cp32-11_ParA_X,cp32-11,RS00880,28079,252,99.57805907172995,710,236,"[(16, 252)]","[(7015, 7725)]","[(16, 252)]",2.5285800776380927,pf32
ESI361H,contig_7 [gcode=11] [topology=linear],26516,MM1_cp26_ParA_1,cp26,MM1,26516,253,100.0,758,252,"[(1, 253)]","[(94, 852)]","[(1, 253)]",2.858651380298688,pf32
ESI361H,contig_8 [gcode=11] [topology=linear],24840,RS00670_JD1_JD1_lp25_ParA_X,lp25,RS00670,24840,252,99.6031746031746,755,251,"[(1, 252)]","[(11790, 12545)]","[(1, 252)]",3.0394524959742357,pf32
ESI361H,contig_9 [gcode=11] [topology=linear],18047,RS00875_MM1_plsm_lp17_ParA_X,lp17,RS00875,18047,246,100.0,725,241,"[(1, 242)]","[(2768, 3493)]","[(1, 242)]",4.017288191943259,pf32
ESI403H,contig_1 [gcode=11] [topology=linear],910442,NE_5261_chromosome_ParA_2,chromosome,NE_5261,910442,380,100.0,1097,365,"[(1, 366)]","[(368717, 369814)]","[(1, 366)]",0.1204909263852063,pf32
ESI403H,contig_10 [gcode=11] [topology=linear],29808,RS06245_ZS7_ZS7_lp28-2_ParA_X,lp28-2,RS06245,29808,255,100.0,764,254,"[(1, 255)]","[(23082, 23846)]","[(1, 255)]",2.563070316693505,pf32
ESI403H,contig_11 [gcode=11] [topology=linear],26514,NE_5261_cp26_ParA_1,cp26,NE_5261,26514,253,100.0,758,252,"[(1, 253)]","[(21225, 21983)]","[(1, 253)]",2.8588670136531644,pf32
ESI403H,contig_12 [gcode=11] [topology=linear],25492,RS05930_ZS7_ZS7_lp28-4_ParA_X,lp28-4,RS05930,25492,250,100.0,749,249,"[(1, 250)]","[(12496, 13245)]","[(1, 250)]",2.938176682880904,pf32
ESI403H,contig_13 [gcode=11] [topology=linear],24417,RS00040_ZS7_ZS7_lp25_ParA_X,lp25,RS00040,24417,252,100.0,755,251,"[(1, 252)]","[(11501, 12256)]","[(1, 252)]",3.092107957570545,pf32
ESI403H,contig_14 [gcode=11] [topology=linear],23639,O32_B31_cp32-7_ParA_X,cp32-7,O32,23639,249,99.59839357429718,746,248,"[(1, 249)]","[(11638, 12384)]","[(1, 249)]",3.155801852870257,pf32
ESI403H,contig_15 [gcode=11] [topology=linear],11798,F24_B31_lp28-1_ParA_X,lp28-1,F24,11798,254,100.0,761,253,"[(1, 254)]","[(3875, 4636)]","[(1, 254)]",6.450245804373623,pf32
ESI403H,contig_16 [gcode=11] [topology=linear],9095,DN127_cp9_ParA_X,cp9,DN127,9095,246,91.869918699187,737,245,"[(1, 246)]","[(4607, 5344)]","[(1, 246)]",8.10335349092908,pf32
ESI403H,contig_17 [gcode=11] [topology=linear],3518,gb|CP001210.1|,lp28-1,ZS7,3518,23422,99.94321408290745,3520,3520,"[(20953, 21947), (18400, 20926)]","[(992, 3518), (1, 995)]","[(20926, 18400), (21947, 20953)]",100.0568504832291,wp
ESI403H,contig_18 [gcode=11] [topology=linear],3457,gb|AE000794.2|,lp28-1,B31,3457,28155,92.05053449951409,17966,20277,"[(23670, 25580), (18453, 20084), (25028, 26600), (19519, 21815), (23888, 26162), (18949, 21221), (26180, 27931), (18453, 20654), (20103, 22327), (24454, 26600)]","[(1885, 3452), (1185, 3452), (1185, 3097), (1185, 3457), (1185, 3390), (1185, 2811), (1246, 3457), (3, 1770), (1314, 3453)]","[(26162, 23888), (26600, 24454), (21815, 19519), (21221, 18949), (22327, 20103), (20654, 18453), (26180, 27931), (25580, 23670), (26600, 25028), (20084, 18453)]",519.6991611223604,wp
ESI403H,contig_19 [gcode=11] [topology=linear],2179,gb|CP001491.1|,cp32-11,94a,2179,30648,99.58696649839376,2178,2178,"[(1921, 4099)]","[(1, 2179)]","[(4099, 1921)]",99.95410738871044,wp
ESI403H,contig_2 [gcode=11] [topology=linear],53787,A20_B31_lp54_ParA_X,lp54,A20,53787,250,100.0,749,249,"[(1, 250)]","[(13669, 14418)]","[(1, 250)]",1.3925297934445129,pf32
ESI403H,contig_20 [gcode=11] [topology=linear],1194,gb|AE001576.1|,cp32-3,B31,1194,30223,98.3249581239531,1193,1193,"[(5299, 6492)]","[(1, 1194)]","[(5299, 6492)]",99.91624790619764,wp
ESI403H,contig_3 [gcode=11] [topology=linear],50015,RS00875_MM1_plsm_lp17_ParA_X,lp17,RS00875,50015,246,100.0,1450,241,"[(1, 242)]","[(51, 776), (6447, 7172)]","[(1, 242), (1, 242)]",2.899130260921724,pf32
ESI403H,contig_4 [gcode=11] [topology=linear],33222,K21_B31_lp36_ParA_X,lp36,K21,33222,249,100.0,728,242,"[(1, 243)]","[(11444, 12172)]","[(1, 243)]",2.1913190054782974,pf32
ESI403H,contig_5 [gcode=11] [topology=linear],30699,RS01295_JD1_JD1_cp32-1+5_ParA_X,cp32-1+5,RS01295,30699,257,100.0,770,256,"[(1, 257)]","[(19650, 20420)]","[(1, 257)]",2.5082250236164043,pf32
ESI403H,contig_6 [gcode=11] [topology=linear],30474,N32_B31_cp32-9_ParA_X,cp32-9,N32,30474,251,100.0,743,247,"[(1, 248)]","[(8486, 9229)]","[(1, 248)]",2.438143991599396,pf32
ESI403H,contig_7 [gcode=11] [topology=linear],30313,P32_B31_cp32-1_ParA_X,cp32-1,P32,30313,246,100.0,737,245,"[(1, 246)]","[(26611, 27348)]","[(1, 246)]",2.4313001022663547,pf32
ESI403H,contig_8 [gcode=11] [topology=linear],30286,RS01520_MM1_plsm_cp32-6_ParA_X,cp32-6,RS01520,30286,249,100.0,746,248,"[(1, 249)]","[(14167, 14913)]","[(1, 249)]",2.463184309581985,pf32
ESI403H,contig_9 [gcode=11] [topology=linear],30271,RS00580_ZS7_ZS7_cp32-12_ParA_X,cp32-12,RS00580,30271,260,100.0,779,259,"[(1, 260)]","[(24043, 24822)]","[(1, 260)]",2.573420105051039,pf32
ESI425H,contig_1 [gcode=11] [topology=linear],434789,B379_chromosome_ParA_2,chromosome,B379,434789,380,99.72677595628416,1097,365,"[(1, 366)]","[(368488, 369585)]","[(1, 366)]",0.2523062910975209,pf32
ESI425H,contig_10 [gcode=11] [topology=linear],27761,RS06415_JD1_JD1_lp28-5_ParA_X,lp28-5,RS06415,27761,250,100.0,749,249,"[(1, 250)]","[(19615, 20364)]","[(1, 250)]",2.69802960988437,pf32
ESI425H,contig_11 [gcode=11] [topology=linear],26516,MM1_cp26_ParA_1,cp26,MM1,26516,253,100.0,758,252,"[(1, 253)]","[(25641, 26399)]","[(1, 253)]",2.858651380298688,pf32
ESI425H,contig_12 [gcode=11] [topology=linear],26135,RS210_MM1_plsm_lp28-8_ParA_X,lp28-8,RS210,26135,271,100.0,812,270,"[(1, 271)]","[(15250, 16062)]","[(1, 271)]",3.106944710158791,pf32
ESI425H,contig_13 [gcode=11] [topology=linear],24817,RS00670_JD1_JD1_lp25_ParA_X,lp25,RS00670,24817,252,99.6031746031746,755,251,"[(1, 252)]","[(12276, 13031)]","[(1, 252)]",3.0422694120965468,pf32
ESI425H,contig_14 [gcode=11] [topology=linear],17472,gb|CP031412.1|,chromosome,MM1,17472,908512,99.46815167062944,15977,15978,"[(892549, 904705), (904690, 908512)]","[(1, 12156), (12844, 16666)]","[(892549, 904705), (904690, 908512)]",91.44345238095238,wp
ESI425H,contig_15 [gcode=11] [topology=linear],14457,gb|CP001497.1|,lp17,94a,14457,18110,99.46720177138111,14447,14438,"[(1, 14439)]","[(10, 14457)]","[(1, 14439)]",99.9308293560213,wp
ESI425H,contig_16 [gcode=11] [topology=linear],3636,RS00875_MM1_plsm_lp17_ParA_X,lp17,RS00875,3636,246,100.0,725,241,"[(1, 242)]","[(62, 787)]","[(1, 242)]",19.93949394939494,pf32
ESI425H,contig_17 [gcode=11] [topology=linear],3119,gb|AE000783.1|,chromosome,B31,3119,910724,99.87175376723307,3118,6236,"[(435179, 438297), (438424, 441542)]","[(1, 3119)]","[(435179, 438297), (438424, 441542)]",99.96793844180829,wp
ESI425H,contig_2 [gcode=11] [topology=linear],342816,RS01390_WI91-23_WI91-23_lp56_ParA_X,lp56,RS01390,342816,323,100.0,968,322,"[(1, 323)]","[(214282, 215250)]","[(1, 323)]",0.2823672173994212,pf32
ESI425H,contig_3 [gcode=11] [topology=linear],108461,RS03465_29805_29805_lp54_ParA_X,lp54,RS03465,108461,250,100.0,749,249,"[(1, 250)]","[(99834, 100583)]","[(1, 250)]",0.6905708042522196,pf32
ESI425H,contig_4 [gcode=11] [topology=linear],56468,RS01335_MM1_plsm_lp36_ParA_X,lp36,RS01335,56468,249,100.0,728,242,"[(1, 243)]","[(16496, 17224)]","[(1, 243)]",1.2892257561804916,pf32
ESI425H,contig_5 [gcode=11] [topology=linear],52616,A20_B31_lp54_ParA_X,lp54,A20,52616,250,100.0,749,249,"[(1, 250)]","[(38312, 39061)]","[(1, 250)]",1.4235213623232477,pf32
