	num_genomes_gene_cluster_has_hits	num_genes_in_gene_cluster	max_num_paralogs	SCG	functional_homogeneity_index	geometric_homogeneity_index	combined_homogeneity_index	Pfam_ACC	Pfam	COG20_PATHWAY_ACC	COG20_PATHWAY	KEGG_BRITE_ACC	KEGG_BRITE	KEGG_Module_ACC	KEGG_Module	KOfam_ACC	KOfam	KEGG_Class_ACC	KEGG_Class	COG20_CATEGORY_ACC	COG20_CAT_ACC	COG20_CATEGORY	COG20_FUNCTION_ACC	COG20_FUNCTION
GC_00000022	87	534	11	0	0.979090441	0.846264341	0.907844694	PF10934.13	Protein_of_unknown_function_(DUF2634)	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000023	87	532	10	0	0.973725903	0.772691425	0.861637872	PF07341.16	Protein_of_unknown_function_(DUF1473)	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000024	87	521	11	0	0.970777053	0.832632807	0.896413889		ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000025	87	513	10	0	0.932383266	0.739306611	0.824694965	PF05632.16	Borrelia_burgdorferi_protein_of_unknown_function_(DUF792)	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000026	87	505	10	0	0.973221007	0.951300445	0.962135887	PF07405.16	Protein_of_unknown_function_(DUF1506)	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000027	87	505	10	0	0.960180961	0.8332819	0.892241967	PF05561.16	Borrelia_burgdorferi_protein_of_unknown_function_(DUF764)	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000028	87	500	11	0	0.986449086	0.913712832	0.948688825	PF07316.16	Protein_of_unknown_function_(DUF1463)	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000029	87	494	10	0	0.9567093	0.874553573	0.913788565	PF07032.16	Protein_of_unknown_function_(DUF1322)	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000030	86	420	12	0	0.763988948	0.662757067	0.709781656	PF01385.24	Probable_transposase	ND	ND	ko00001	KEGG_Orthology_(KO)>>>09190_Not_Included_in_Pathway_or_Brite>>>09192_Unclassified:_genetic_information_processing>>>99976_Replication_and_repair	ND	ND	K07496	putative_transposase	ND	ND	X	X	Mobilome:_prophages,_transposons	COG0675	Transposase_(InsQ)
GC_00000031	87	353	9	0	0.921466845	0.828548104	0.872540669	PF00589.27	Phage_integrase_family	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000032	85	353	10	0	0.905081595	0.842953713	0.872913593	PF05113.18	Protein_of_unknown_function_(DUF693)	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000033	87	315	16	0	0.916351746	0.69964037	0.793465102		ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	V	V	Defense_mechanisms	COG1002	Type_II_restriction/modification_system,_endonuclease_and_methylase_domains_(YeeA)_(PDB:5HR4)
GC_00000034	70	310	12	0	0.848537788	0.810556676	0.829112487	PF05085.17	Protein_of_unknown_function_(DUF685)	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000035	88	297	8	0	0.765878687	0.907958949	0.830888723	PF13614.11	AAA_domain	ND	ND	ko03036|ko04812	Chromosome_and_associated_proteins>>>Prokaryotic_type>>>Chromosome_partitioning_proteins>>>Other_chromosome_partitioning_proteins|Cytoskeleton_proteins>>>Prokaryotic_cytoskeleton_proteins>>>MinD_/_ParA_class_of_bacterial_cytoskeletal_proteins	ND	ND	K03496	chromosome_partitioning_protein	ND	ND	D|N	D	Cell_cycle_control,_cell_division,_chromosome_partitioning|Cell_motility	COG1192	ParA-like_ATPase_involved_in_chromosome/plasmid_partitioning_or_cellulose_biosynthesis_protein_BcsQ_(ParA)_(PDB:6NOO)
GC_00000036	87	289	6	0	0.921945256	0.905703239	0.913752077	PF00589.27	Phage_integrase_family	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000037	88	289	6	0	0.937355668	0.662317415	0.776192323	PF13382.11	Adenine_deaminase_C-terminal_domain	ND	ND	ko00001|ko01000	KEGG_Orthology_(KO)>>>09100_Metabolism>>>09104_Nucleotide_metabolism>>>00230_Purine_metabolism_[PATH:ko00230]|Enzymes>>>3._Hydrolases>>>3.5__Acting_on_carbon-nitrogen_bonds,_other_than_peptide_bonds>>>3.5.4__In_cyclic_amidines>>>3.5.4.2__adenine_deaminase	ND	ND	K01486	adenine_deaminase_[EC:3.5.4.2]	ND	ND	F	F	Nucleotide_transport_and_metabolism	COG1001	Adenine_deaminase_(AdeC)_(PDB:3NQB)
GC_00000038	76	273	20	0	0.966791835	0.830189292	0.893298451	PF02989.19	Lyme_disease_proteins_of_unknown_function	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000039	87	259	6	0	0.832576415	0.718144753	0.771138483	PF02524.19	KID_repeat	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000040	40	249	26	0	0.941486386	0.807789847	0.869528928	PF05085.17	Protein_of_unknown_function_(DUF685)	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000041	84	246	5	0	0.880530219	0.94041707	0.909488873	PF05714.16	Borrelia_Bbcrasp-1_domain_containing_protein	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000042	85	245	5	0	0.935603512	0.878682284	0.906249977	PF04404.17	ERF_superfamily	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000043	80	235	6	0	0.728406434	0.67571557	0.701072367	PF02414.20	Borrelia_ORF-A	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000044	78	230	7	0	0.913716035	0.701995712	0.793984124		ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000045	58	220	9	0	0.926087393	0.880159968	0.902539782	PF05537.16	Borrelia_burgdorferi_protein_of_unknown_function_(DUF759)	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000046	87	218	7	0	0.915485059	0.660560479	0.767405807		ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000047	87	209	4	0	0.890789683	0.845999476	0.867817031	PF02414.20	Borrelia_ORF-A	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000048	86	207	5	0	0.898789961	0.732540666	0.807194061	PF02524.19	KID_repeat	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000049	70	200	9	0	0.803481255	0.644241254	0.715103576	PF02414.20	Borrelia_ORF-A	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000050	84	197	4	0	0.807122954	0.938392599	0.867821779	PF01672.21	Putative_plasmid_partition_protein	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000051	74	194	7	0	0.972199156	0.853872482	0.909202125	PF05113.18	Protein_of_unknown_function_(DUF693)	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000052	80	188	5	0	0.870229063	0.76230587	0.812700188	PF02471.22	Borrelia_outer_surface_protein_E	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000053	86	188	6	0	0.941334496	0.802201085	0.866216396	PF04867.17	Protein_of_unknown_function_(DUF643)	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000054	83	187	4	0	0.77092156	0.8012183	0.785778006	PF01672.21	Putative_plasmid_partition_protein	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000055	86	185	4	0	0.86370131	0.779027684	0.819182267		ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000056	88	184	4	0	0.910212551	0.939613854	0.924679549	PF00860.25	Permease_family	ND	ND	ko02000	Transporters>>>Other_transporters>>>Electrochemical_potential-driven_transporters_[TC:2]	ND	ND	K06901	adenine/guanine/hypoxanthine_permease	ND	ND	F	F	Nucleotide_transport_and_metabolism	COG2252	Xanthine/guanine/uracil/vitamin_C_permease_GhxP/GhxQ,_nucleobase:cation_symporter_2_(_NCS2)_family_(NCS2)_(PUBMED:24169576;24214977)
GC_00000057	63	176	8	0	0.834549467	0.64266739	0.726146233	PF05537.16	Borrelia_burgdorferi_protein_of_unknown_function_(DUF759)	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000058	83	176	3	0	0.812210455	0.65056824	0.722458329	PF05714.16	Borrelia_Bbcrasp-1_domain_containing_protein	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000059	84	172	4	0	0.805421334	0.680010589	0.737421927	PF02414.20	Borrelia_ORF-A	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000060	87	166	4	0	0.953718439	0.721563631	0.821555429	PF03532.18	OMS28_porin	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000061	85	162	3	0	0.949695006	0.922587634	0.935945087		ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000062	83	160	4	0	0.965956824	0.649256673	0.776558535	PF07690.21	Major_Facilitator_Superfamily	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	G	G	Carbohydrate_transport_and_metabolism	COG2814	Predicted_arabinose_efflux_permease_AraJ,_MFS_family_(AraJ)_(PDB:4LDS)
GC_00000063	77	158	5	0	0.964425712	0.890828963	0.92616757	PF04867.17	Protein_of_unknown_function_(DUF643)	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000064	87	156	3	0	0.958541936	0.683174449	0.797764297	PF04402.19	Protein_of_unknown_function_(DUF541)	ND	ND	ko00001	KEGG_Orthology_(KO)>>>09190_Not_Included_in_Pathway_or_Brite>>>09194_Poorly_characterized>>>99997_Function_unknown	ND	ND	K09797	uncharacterized_protein	ND	ND	M	M	Cell_wall/membrane/envelope_biogenesis	COG2859	Outer_membrane_channel-forming_protein_BP26/OMP28,_SIMPL_family_(SIMPL)_(PDB:4HVZ)_(PUBMED:23353825;32703422)
GC_00000065	82	156	4	0	0.83222479	0.942296596	0.88384687	PF03978.18	Borrelia_burgdorferi_REV_protein	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000066	81	151	3	0	0.861754654	0.992444373	0.922493804	PF13614.11	AAA_domain	ND	ND	ko03036|ko04812	Chromosome_and_associated_proteins>>>Prokaryotic_type>>>Chromosome_partitioning_proteins>>>Other_chromosome_partitioning_proteins|Cytoskeleton_proteins>>>Prokaryotic_cytoskeleton_proteins>>>MinD_/_ParA_class_of_bacterial_cytoskeletal_proteins	ND	ND	K03496	chromosome_partitioning_protein	ND	ND	D|N	D	Cell_cycle_control,_cell_division,_chromosome_partitioning|Cell_motility	COG1192	ParA-like_ATPase_involved_in_chromosome/plasmid_partitioning_or_cellulose_biosynthesis_protein_BcsQ_(ParA)_(PDB:6NOO)
GC_00000067	79	149	5	0	0.904860012	0.677366338	0.774758571	PF05714.16	Borrelia_Bbcrasp-1_domain_containing_protein	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000068	79	145	3	0	0.898655706	0.74202439	0.812863463		ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000069	75	137	4	0	0.753079201	0.707494173	0.729575324		ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000070	88	137	2	0	0.829519534	0.607833682	0.701581082	PF02547.20	Queuosine_biosynthesis_protein	COG0809	tRNA_modification	ND	ND	ND	ND	ND	ND	ND	ND	J	J	Translation,_ribosomal_structure_and_biogenesis	COG0809	S-adenosylmethionine:tRNA-ribosyltransferase-isomerase_(queuine_synthetase)_(QueA)_(PDB:1VKY)
GC_00000071	31	136	16	0	0.78564004	0.931279412	0.852282725	PF00921.22	Borrelia_lipoprotein	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000072	79	129	9	0	0.90108314	0.752374292	0.820041419	PF20155.4	Tape_measure_protein	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000073	79	128	6	0	0.988723692	0.771814465	0.866906797		ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	S	S	Function_unknown	COG3567	Uncharacterized_conserved_protein,_DUF1073_domain
GC_00000074	87	127	3	0	0.887537747	0.951408873	0.91836411	PF13614.11	AAA_domain	ND	ND	ko03036|ko04812	Chromosome_and_associated_proteins>>>Prokaryotic_type>>>Chromosome_partitioning_proteins>>>Other_chromosome_partitioning_proteins|Cytoskeleton_proteins>>>Prokaryotic_cytoskeleton_proteins>>>MinD_/_ParA_class_of_bacterial_cytoskeletal_proteins	ND	ND	K03496	chromosome_partitioning_protein	ND	ND	D|N	D	Cell_cycle_control,_cell_division,_chromosome_partitioning|Cell_motility	COG1192	ParA-like_ATPase_involved_in_chromosome/plasmid_partitioning_or_cellulose_biosynthesis_protein_BcsQ_(ParA)_(PDB:6NOO)
GC_00000075	79	124	3	0	0.958240017	0.756185606	0.845306204		ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000076	82	123	5	0	0.854052106	0.959525375	0.903721706	PF01672.21	Putative_plasmid_partition_protein	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000077	79	122	4	0	0.967244876	0.761895104	0.852376492	PF02524.19	KID_repeat	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000078	77	121	4	0	0.992984588	0.719920893	0.834687447		ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000079	78	120	2	0	0.912267865	0.990528473	0.949788768	PF02890.19	Borrelia_family_of_unknown_function_DUF226	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	D|N	D	Cell_cycle_control,_cell_division,_chromosome_partitioning|Cell_motility	COG1192	ParA-like_ATPase_involved_in_chromosome/plasmid_partitioning_or_cellulose_biosynthesis_protein_BcsQ_(ParA)_(PDB:6NOO)
GC_00000080	60	117	6	0	0.930297706	0.894918189	0.912265054	PF05537.16	Borrelia_burgdorferi_protein_of_unknown_function_(DUF759)	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000081	87	116	2	0	0.999795834	1	0.999897906	PF13614.11	AAA_domain	ND	ND	ko03036|ko03029	Chromosome_and_associated_proteins>>>Prokaryotic_type>>>Chromosome_partitioning_proteins>>>Other_chromosome_partitioning_proteins|Mitochondrial_biogenesis>>>Mitochondrial_quality_control_factors>>>Mitochondrial_respiratory_chain_complex_assembly_factors>>>Complex-I_assembly_factors	ND	ND	K03496	chromosome_partitioning_protein	ND	ND	D|N	D	Cell_cycle_control,_cell_division,_chromosome_partitioning|Cell_motility	COG1192	ParA-like_ATPase_involved_in_chromosome/plasmid_partitioning_or_cellulose_biosynthesis_protein_BcsQ_(ParA)_(PDB:6NOO)
GC_00000082	87	116	2	0	0.993802568	0.988893886	0.991342151		ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000083	87	115	2	0	0.926428878	1	0.961809583		ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000084	80	112	2	0	0.975317367	0.663236048	0.789556972	PF05714.16	Borrelia_Bbcrasp-1_domain_containing_protein	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000085	65	110	3	0	0.880648999	0.797596705	0.837067824	PF12323.13	Helix-turn-helix_domain	ND	ND	ko00001	KEGG_Orthology_(KO)>>>09190_Not_Included_in_Pathway_or_Brite>>>09192_Unclassified:_genetic_information_processing>>>99976_Replication_and_repair	ND	ND	K07496	putative_transposase	ND	ND	X	X	Mobilome:_prophages,_transposons	COG0675	Transposase_(InsQ)
GC_00000086	70	110	3	0	0.954354579	0.922956354	0.938392897		ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000087	76	110	6	0	0.971608135	0.829139811	0.894738197		ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000088	55	109	4	0	0.94096223	0.707603108	0.807766345	PF05154.21	TM2_domain	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	R	R	General_function_prediction_only	COG2314	Uncharacterized_membrane_protein_YozV,_TM2_domain,_contains_pTyr_(TM2)_(PUBMED:27148221)
GC_00000089	59	109	2	0	0.699904459	0.706573957	0.703223394	PF13614.11	AAA_domain	ND	ND	ko03036|ko04812	Chromosome_and_associated_proteins>>>Prokaryotic_type>>>Chromosome_partitioning_proteins>>>Other_chromosome_partitioning_proteins|Cytoskeleton_proteins>>>Prokaryotic_cytoskeleton_proteins>>>MinD_/_ParA_class_of_bacterial_cytoskeletal_proteins	ND	ND	K03496	chromosome_partitioning_protein	ND	ND	D|N	D	Cell_cycle_control,_cell_division,_chromosome_partitioning|Cell_motility	COG1192	ParA-like_ATPase_involved_in_chromosome/plasmid_partitioning_or_cellulose_biosynthesis_protein_BcsQ_(ParA)_(PDB:6NOO)
GC_00000090	68	105	4	0	0.9229168	0.955568522	0.938958886	PF04404.17	ERF_superfamily	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000091	58	105	4	0	0.983101776	0.938865903	0.960474775	PF04404.17	ERF_superfamily	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000092	24	104	8	0	0.883380205	0.770267705	0.822955406	PF00921.22	Borrelia_lipoprotein	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000093	83	103	2	0	0.976457203	0.813097082	0.887320948	PF05714.16	Borrelia_Bbcrasp-1_domain_containing_protein	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000094	68	98	3	0	0.956702183	0.741048439	0.835178795		ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000095	76	98	5	0	0.982594164	0.955541095	0.968878822		ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000096	76	96	3	0	0.994131622	0.975218731	0.98458436		ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000097	76	96	3	0	0.985133575	0.979866917	0.982493188		ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000098	87	96	2	0	0.990710918	0.881668197	0.933014369	PF02890.19	Borrelia_family_of_unknown_function_DUF226	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000099	76	96	4	0	0.898526578	0.956059353	0.926400578		ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000100	88	95	2	0	0.995859536	0.918629601	0.955686852	PF02378.23	Phosphotransferase_system,_EIIC_	ND	ND	ko00001|ko00001|ko00001|ko00001|ko01000|ko01000|ko02000	KEGG_Orthology_(KO)>>>09100_Metabolism>>>09101_Carbohydrate_metabolism>>>00010_Glycolysis_/_Gluconeogenesis_[PATH:ko00010]|KEGG_Orthology_(KO)>>>09100_Metabolism>>>09101_Carbohydrate_metabolism>>>00500_Starch_and_sucrose_metabolism_[PATH:ko00500]|KEGG_Orthology_(KO)>>>09100_Metabolism>>>09101_Carbohydrate_metabolism>>>00520_Amino_sugar_and_nucleotide_sugar_metabolism_[PATH:ko00520]|KEGG_Orthology_(KO)>>>09130_Environmental_Information_Processing>>>09131_Membrane_transport>>>02060_Phosphotransferase_system_(PTS)_[PATH:ko02060]|Enzymes>>>2._Transferases>>>2.7__Transferring_phosphorus-containing_groups>>>2.7.1__Phosphotransferases_with_an_alcohol_group_as_acceptor>>>2.7.1.199__protein-Npi-phosphohistidine---D-glucose_phosphotransferase|Enzymes>>>2._Transferases>>>2.7__Transferring_phosphorus-containing_groups>>>2.7.1__Phosphotransferases_with_an_alcohol_group_as_acceptor>>>2.7.1.208__protein-Npi-phosphohistidine---maltose_phosphotransferase|Transporters>>>Phosphotransferase_system_(PTS)>>>Enzyme_II_[TC:4.A]>>>Maltose/glucose-specific_II_component	ND	ND	K02791	maltose/glucose_PTS_system_EIICB_component_[EC:2.7.1.199_2.7.1.208]	ND	ND	G|G	G	Carbohydrate_transport_and_metabolism|Carbohydrate_transport_and_metabolism	COG1263|COG1264	Phosphotransferase_system_IIC_components,_glucose/maltose/N-acetylglucosamine-specific_(PtsG1)|Phosphotransferase_system_IIB_components_(PtsG2)_(PDB:1IBA)
GC_00000101	76	95	3	0	0.93139235	0.999454173	0.964223681	PF03196.18	Protein_of_unknown_function,_DUF261	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000102	76	95	3	0	0.97302369	0.994121599	0.983459506		ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
