Group,Nodes,Surface Lipos,p-values,osp,mlp,erp,dbp,vls,Genes
11,26,3,0.5061674680127974,0,1,0,0,0,"['group_273', 'group_559', 'group_1157', 'group_8', 'group_526', 'group_22', 'mlpL', 'group_253', 'group_471', 'group_386', 'group_852', 'group_873', 'group_901', 'group_909', 'group_921', 'group_1173', 'group_684', 'group_196', 'yqaJ', 'group_1012', 'group_426', 'group_530', 'group_131', 'group_305', 'group_66', 'insQ']"
14,98,10,0.5561174686399676,0,1,0,0,0,"['group_1324', 'group_1036', 'group_1081', 'group_1069', 'group_313', 'group_147', 'group_836', 'group_329', 'group_848', 'group_1162', 'group_482', 'group_915', 'group_755', 'group_761', 'group_231', 'group_111', 'group_176', 'group_415', 'group_528', 'lolD', 'group_1078', 'group_1105', 'group_40', 'group_885', 'group_940', 'group_959', 'group_971', 'group_891', 'group_513', 'orfB', 'group_197', 'group_838', 'group_840', 'group_1104', 'group_488', 'group_102', 'group_1083', 'group_1085', 'group_9', 'group_973', 'group_1080', 'group_1082', 'group_979', 'group_1114', 'group_662', 'group_619', 'group_525', 'group_769', 'elpB2', 'group_747', 'group_763', 'group_4', 'group_743', 'group_630', 'group_744', 'group_1021', 'group_1095', 'group_625', 'group_489', 'mlp9', 'group_621', 'group_702', 'group_487', 'group_1099', 'mlp8', 'group_1092', 'group_225', 'group_721', 'group_999', 'group_544', 'group_620', 'group_321', 'group_368', 'group_724', 'eppA', 'group_98', 'group_717', 'group_1057', 'group_682', 'group_550', 'group_439', 'group_306', 'group_312', 'group_565', 'group_366', 'group_116', 'group_1172', 'group_552', 'group_961', 'group_108', 'group_339', 'adeC', 'group_606', 'group_538', 'group_359', 'group_360', 'group_449', 'group_1023']"
17,20,2,0.6228842536732515,0,0,1,0,0,"['group_1198', 'group_248', 'group_303', 'group_355', 'group_966', 'group_337', 'group_735', 'group_1072', 'group_133', 'erpD', 'group_470', 'group_476', 'group_689', 'group_473', 'group_192', 'group_234', 'group_1071', 'bdrH~~~repU~~~bdrW', 'group_1001', 'group_424']"
3,42,4,0.6381659505461865,0,0,1,0,1,"['group_1301', 'group_361', 'vlsE', 'group_643', 'group_101', 'group_1084', 'group_751', 'group_1045', 'group_341', 'group_375', 'group_737', 'group_844', 'group_861', 'group_975', 'tnpA', 'group_502', 'group_536', 'group_1150', 'group_189', 'group_1086', 'group_1106', 'group_1087', 'group_110', 'group_188', 'erpG', 'group_60', 'group_129', 'group_615', 'group_951', 'group_274', 'group_522', 'group_169', 'group_786', 'group_238', 'group_644', 'group_155', 'group_1176', 'group_212', 'group_722', 'group_1015', 'group_533', 'group_309']"
12,35,3,0.7124773021446852,0,0,0,0,0,"['group_650', 'group_704', 'group_457', 'group_456', 'group_220', 'group_37', 'group_799', 'group_965', 'group_939', 'group_926', 'group_874', 'group_1065', 'group_731', 'group_85', 'group_1135', 'group_950', 'group_944', 'group_911', 'group_1318', 'group_1317', 'group_825', 'group_148', 'dcm', 'group_514', 'group_518', 'group_849', 'group_964', 'group_837', 'group_146', 'group_654', 'bppC1', 'group_184', 'group_283', 'group_1016', 'group_534']"
13,28,2,0.7989243988215755,0,1,1,0,0,"['bdrQ', 'group_286', 'group_174', 'group_334', 'group_6', 'erpM', 'group_444', 'group_121', 'group_270', 'bdrA', 'group_653', 'group_1066', 'group_676', 'group_624', 'group_807', 'mlpI', 'group_1020', 'group_480', 'group_258', 'group_635', 'group_660', 'group_210', 'group_1070', 'group_707', 'group_240', 'group_178', 'group_163', 'group_711']"
18,29,2,0.8149188312968817,0,1,0,0,0,"['group_762', 'group_1320', 'group_694', 'group_770', 'group_771', 'group_486', 'group_760', 'group_918', 'group_416', 'group_1101', 'mlpF~~~mlpH~~~mlpA', 'group_152', 'group_699', 'group_118', 'group_336', 'group_511', 'group_381', 'group_609', 'group_423', 'group_195', 'group_602', 'group_14', 'group_870', 'bppA', 'group_396', 'group_245', 'group_1011', 'mlpH', 'group_1010']"
20,31,2,0.8435631028813751,0,1,0,0,0,"['group_1315', 'group_1312', 'group_1311', 'group_1113', 'group_13', 'group_124', 'group_340', 'group_719', 'group_379', 'group_474', 'group_690', 'group_547', 'group_1003', 'group_714', 'group_797', 'group_388', 'group_943', 'group_558', 'group_183', 'group_640', 'group_555', 'group_560', 'bdrH', 'group_508', 'group_604', 'mlp10~~~mlpH~~~mlpD', 'group_438', 'group_1008', 'group_681', 'group_1005', 'group_99']"
8,46,3,0.8673142331643248,0,0,0,0,0,"['group_584', 'group_501', 'group_782', 'group_978', 'group_850', 'group_1177', 'group_859', 'group_451', 'group_42', 'group_323', 'group_380', 'group_946', 'group_172', 'group_599', 'group_1041', 'group_88', 'group_1136', 'group_941', 'group_982', 'yidD', 'group_570', 'group_374', 'group_322', 'group_593', 'group_272', 'group_455', 'group_287', 'group_1197', 'group_816', 'group_151', 'group_222', 'group_440', 'group_435', 'group_659', 'group_269', 'ade', 'sIMPL', 'group_242', 'group_261', 'group_103', 'group_1046', 'group_1047', 'group_1048', 'group_1049', 'group_1180', 'group_425']"
28,21,1,0.898197441001151,0,0,0,0,0,"['group_191', 'group_851', 'group_348', 'group_257', 'group_539', 'group_586', 'group_734', 'group_509', 'osm28', 'group_1268', 'group_1252', 'thyX', 'group_1271', 'group_1261', 'group_1079', 'group_1022', 'group_992', 'group_490', 'group_295', 'group_401', 'group_414']"
27,37,2,0.9071010638803458,0,0,1,0,0,"['group_1019', 'group_301', 'group_484', 'group_661', 'group_1077', 'group_692', 'group_1097', 'group_1107', 'group_136', 'group_81', 'group_142', 'group_1063', 'group_1024', 'group_1061', 'group_107', 'group_1211', 'group_1229', 'group_1238', 'group_1240', 'erpX', 'group_592', 'group_407', 'group_168', 'group_725', 'group_780', 'group_1060', 'group_1058', 'group_200', 'group_791', 'group_409', 'group_697', 'group_686', 'group_605', 'group_255', 'group_1093', 'group_1033', 'group_549']"
24,22,1,0.9087943265908888,0,0,0,0,0,"['group_1321', 'group_221', 'group_55', 'group_330', 'group_637', 'bdrW~~~repU', 'group_1051', 'group_371', 'group_614', 'group_612', 'group_441', 'group_1013', 'bcsQ~~~parA', 'group_845', 'group_882', 'group_398', 'group_450', 'group_1004', 'group_1067', 'group_553', 'group_515', 'group_404']"
5,22,1,0.9087943265908888,0,0,0,0,0,"['rnmV', 'group_285', 'group_145', 'group_436', 'group_2', 'group_179', 'group_324', 'group_1154', 'group_756', 'group_888', 'group_813', 'group_787', 'group_776', 'group_442', 'group_568', 'group_788', 'group_557', 'group_764', 'group_767', 'group_789', 'group_754', 'group_1035']"
9,22,1,0.9087943265908888,0,0,0,0,0,"['group_23', 'group_974', 'group_952', 'group_399', 'group_636', 'bppB', 'group_62', 'group_696', 'group_259', 'group_517', 'group_154', 'group_507', 'group_634', 'group_812', 'group_499', 'group_1174', 'group_603', 'group_587', 'group_412', 'group_187', 'group_616', 'group_698']"
23,23,1,0.91829660957296,0,1,0,0,0,"['group_1314', 'group_385', 'mlpF~~~mlpC', 'group_446', 'group_376', 'group_417', 'group_772', 'group_773', 'group_713', 'group_219', 'group_143', 'group_117', 'group_491', 'group_860', 'group_543', 'group_91', 'group_308', 'group_571', 'group_777', 'group_818', 'group_561', 'bdrP', 'group_989']"
2,55,3,0.9341098816663601,0,0,0,0,0,"['group_652', 'group_649', 'group_622', 'group_369', 'group_447', 'group_410', 'group_389', 'group_127', 'group_282', 'group_254', 'group_149', 'group_138', 'group_1', 'group_503', 'group_448', 'group_857', 'group_828', 'group_832', 'group_1187', 'group_1166', 'group_914', 'group_913', 'group_864', 'group_856', 'group_976', 'group_1300', 'group_902', 'group_822', 'group_1323', 'group_1064', 'group_164', 'group_1096', 'group_577', 'group_752', 'group_753', 'group_656', 'group_633', 'group_648', 'group_805', 'group_798', 'group_924', 'group_1164', 'group_466', 'group_727', 'group_732', 'group_1044', 'group_968', 'group_36', 'group_783', 'cdsA', 'group_579', 'group_671', 'group_672', 'group_733', 'group_824']"
22,26,1,0.9413018661649208,0,0,0,0,0,"['group_1313', 'group_1322', 'group_903', 'group_792', 'group_262', 'group_364', 'group_821', 'group_693', 'group_326', 'group_347', 'group_784', 'group_1133', 'group_1054', 'group_243', 'group_741', 'blyB', 'group_256', 'group_485', 'group_679', 'group_161', 'group_1178', 'group_823', 'group_997', 'group_294', 'group_532', 'group_572']"
25,50,2,0.9719194472801624,0,0,0,0,1,"['group_408', 'group_876', 'group_1053', 'group_774', 'group_87', 'group_419', 'group_790', 'group_278', 'group_134', 'vlsE1', 'group_890', 'group_907', 'group_958', 'group_728', 'group_710', 'group_1091', 'group_670', 'group_198', 'group_58', 'group_395', 'group_953', 'group_980', 'group_208', 'group_157', 'group_413', 'group_362', 'group_384', 'group_387', 'group_504', 'group_617', 'group_540', 'group_580', 'group_1181', 'group_546', 'group_453', 'group_1073', 'group_1235', 'group_1110', 'group_144', 'group_1103', 'group_757', 'group_114', 'group_16', 'group_674', 'group_1159', 'group_315', 'group_1109', 'group_82', 'group_418', 'blyA']"
26,21,0,1.0,0,0,0,0,0,"['group_214', 'group_709', 'group_333', 'group_678', 'group_626', 'group_190', 'group_166', 'parA', 'group_629', 'group_95', 'group_583', 'group_338', 'group_1089', 'group_585', 'group_802', 'group_933', 'group_139', 'group_403', 'group_1068', 'group_505', 'group_1002']"
19,36,0,1.0,0,0,0,0,0,"['group_38', 'yjhX', 'group_1305', 'group_795', 'group_794', 'group_343', 'group_15', 'group_960', 'group_215', 'group_406', 'group_995', 'group_804', 'group_516', 'group_1145', 'group_663', 'group_748', 'group_994', 'group_1108', 'group_452', 'yeeA', 'group_519', 'group_185', 'group_506', 'group_627', 'group_354', 'group_1075', 'group_434', 'group_1000', 'group_527', 'group_472', 'group_194', 'group_993', 'group_307', 'group_556', 'group_153', 'group_394']"
33,5,0,1.0,0,0,0,0,0,"['group_803', 'group_806', 'group_331', 'group_715', 'group_1032']"
29,19,0,1.0,0,0,0,0,0,"['group_1100', 'repU', 'group_801', 'group_342', 'group_63', 'group_736', 'group_400', 'group_646', 'group_327', 'group_1009', 'group_1170', 'group_578', 'rdgC', 'group_465', 'group_651', 'group_664', 'group_668', 'group_1043', 'group_667']"
32,3,0,1.0,0,0,0,0,0,"['group_564', 'group_1018', 'group_858']"
1,9,0,1.0,0,0,0,0,0,"['group_988', 'group_785', 'bppA~~~yqaJ', 'group_510', 'group_345', 'group_1025', 'group_1014', 'group_349', 'group_677']"
