assembly_id	contig_id	ref_id	ospC_type	query_length	ref_length	overall_percent_identity	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords	query_coverage_percent
URI118H	contig_10 [gcode=11] [topology=linear]	AF029871.1	K	26514	583	100.0	582	582	[(1, 583)]	[(17058, 17640)]	[(1, 583)]	2.1950667571848834
URI112H	contig_9 [gcode=11] [topology=linear]	AF029871.1	K	26514	583	100.0	582	582	[(1, 583)]	[(25915, 26497)]	[(1, 583)]	2.1950667571848834
UCT50H	contig_8 [gcode=11] [topology=linear]	U04240.1	E	26498	929	99.89247311827957	929	928	[(1, 929)]	[(7776, 8705)]	[(929, 1)]	3.505924975469847
URI33H	contig_13 [gcode=11] [topology=linear]	L42897.1	N	26506	579	100.0	578	578	[(1, 579)]	[(13659, 14237)]	[(1, 579)]	2.18063834603486
GCF_040790775.1_ASM4079077v1_genomic	NZ_CP161185.1 Borreliella burgdorferi strain P1286 plasmid cp26, complete sequence	U01894.1	A	28647	980	98.98477157360406	982	977	[(234, 980), (12, 243)]	[(16551, 16787), (16832, 17578)]	[(234, 980), (12, 243)]	3.427933116905784
GCF_040790715.1_ASM4079071v1_genomic	NZ_CP161154.1 Borreliella burgdorferi strain GMT-0122 plasmid cp26, complete sequence	X81524.1	L	26519	633	99.21011058451816	632	632	[(1, 633)]	[(16907, 17539)]	[(1, 633)]	2.3831969531279458
UCT92H	contig_15 [gcode=11] [topology=linear]	AF029871.1	K	26514	583	100.0	582	582	[(1, 583)]	[(8592, 9174)]	[(583, 1)]	2.1950667571848834
UCT109H	contig_16 [gcode=11] [topology=linear]	U01894.1	A	26498	980	98.98477157360406	982	977	[(234, 980), (12, 243)]	[(15205, 15441), (15486, 16232)]	[(234, 980), (12, 243)]	3.705940070948751
URI41H	contig_14 [gcode=11] [topology=linear]	U01894.1	A	26498	980	98.98477157360406	982	977	[(234, 980), (12, 243)]	[(18804, 19550), (19595, 19831)]	[(980, 234), (243, 12)]	3.705940070948751
UNY1083P	contig_9 [gcode=11] [topology=linear]	DQ437462.1	C	25159	630	100.0	629	629	[(1, 630)]	[(23219, 23848)]	[(1, 630)]	2.500099368019397
