Strain_ID,Alias,Assembly_ID,MLST,OspC,RST,Imputed,Origin,Location,Source,Species Notes,Sequenced_By_x,BAPS,DBScan,Core,Accessory,Platform,Sequenced_By_y,BioProject,BioSample,SRA,RefSeq,Genbank,Assembly_Name
UCT50H,K21,,19.0,E,3.0,N,US,CT,Skin,,Internal,2.0,5.0,6.0,25.0,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009596,SRS5039836,,GCA_979086145.1,UCT50H_ann_v1
UCT92H,K72,,3.0,K,2.0,N,US,CT,Skin,,Internal,6.0,2.0,2.0,2.0,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009647,SRS5039843,,GCA_979087215.1,UCT92H_ann_v1
UCT96H,K84,,1.0,B,1.0,N,US,CT,Skin,,Internal,3.0,14.0,12.0,8.0,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009659,SRS5039850,,GCA_979086215.1,UCT96H_ann_v1
UNY1032P,BL206,,1.0,A,1.0,N,US,NY,Blood,,Internal,5.0,1.0,1.0,1.0,PacBio RSII,Internal,PRJNA548188,SAMN50671267,SRR35049689,,GCA_979086165.1,UNY1032P_ann_v1
UNY1038P,BL224,,3.0,K,2.0,N,US,NY,Blood,,Internal,6.0,2.0,2.0,2.0,PacBio RSII,Internal,PRJNA548188,SAMN50671268,SRR35049680,,GCA_979086195.1,UNY1038P_ann_v1
UNY1083P,BL515,,11.0,C,3.0,N,US,NY,Blood,,Internal,9.0,12.0,10.0,24.0,PacBio RSII,Internal,PRJNA548188,SAMN50671269,SRR35049679,,GCA_979086175.1,UNY1083P_ann_v1
UNY1085P,BL522P,,12.0,M,3.0,N,US,NY,Blood,,Internal,10.0,4.0,5.0,23.0,PacBio RSII,Internal,PRJNA548188,SAMN50671270,SRR35049678,,GCA_979087295.1,UNY1085P_ann_v1
UNY1090P,BL546P,,4.0,H,2.0,N,US,NY,Blood,,Internal,7.0,6.0,3.0,7.0,PacBio RSII,Internal,PRJNA548188,SAMN50671271,SRR35049677,,GCA_979086205.1,UNY1090P_ann_v1
UNY1128P,MR614,,11.0,C,3.0,N,US,NY,Skin,,Internal,9.0,12.0,10.0,22.0,PacBio RSII,Internal,PRJNA548188,SAMN50671272,SRR35049676,,GCA_979086225.1,UNY1128P_ann_v1
UNY149P,B247,,3.0,K,2.0,N,US,NY,Skin,,Internal,6.0,2.0,2.0,2.0,PacBio RSII,Internal,PRJNA548188,SAMN50671273,SRR35049675,,GCA_979086265.1,UNY149P_ann_v1
UNY169P,B348,,19.0,E,3.0,N,US,NY,Skin,,Internal,2.0,5.0,6.0,5.0,PacBio RSII,Internal,PRJNA548188,SAMN50671274,SRR35049674,,GCA_979087375.1,UNY169P_ann_v1
UNY172P,B356,,12.0,M,3.0,N,US,NY,Skin,,Internal,10.0,4.0,5.0,21.0,PacBio RSII,Internal,PRJNA548188,SAMN50671275,SRR35049673,,GCA_979086285.1,UNY172P_ann_v1
UNY193P,B477,,38.0,D,3.0,N,US,NY,Skin,,Internal,8.0,11.0,9.0,20.0,PacBio RSII,Internal,PRJNA548188,SAMN50671276,SRR35049688,,GCA_979086255.1,UNY193P_ann_v1
UNY203P,MR616,,14.0,G,3.0,N,US,NY,Skin,,Internal,8.0,13.0,11.0,19.0,PacBio RSII,Internal,PRJNA548188,SAMN50671277,SRR35049687,,GCA_979087385.1,UNY203P_ann_v1
UNY208P,MR641,,4.0,H,2.0,N,US,NY,Skin,,Internal,7.0,6.0,3.0,7.0,PacBio RSII,Internal,PRJNA548188,SAMN50671278,SRR35049686,,GCA_979087395.1,UNY208P_ann_v1
UNY990P,B483P,,9.0,N,2.0,N,US,NY,Skin,,Internal,11.0,8.0,7.0,3.0,PacBio RSII,Internal,PRJNA548188,SAMN50671279,SRR35049685,,GCA_979086275.1,UNY990P_ann_v1
URI101H,K57,,1.0,A,1.0,N,US,RI,Skin,,Internal,5.0,1.0,1.0,1.0,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009632,SRS5039856,,GCA_979086295.1,URI101H_ann_v1
URI102H,K58,,1.0,A,1.0,N,US,RI,Skin,,Internal,5.0,1.0,1.0,1.0,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009633,SRS5039825,,GCA_979086305.1,URI102H_ann_v1
URI103H,K59,,3.0,K,2.0,N,US,RI,Skin,,Internal,6.0,2.0,2.0,2.0,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009634,SRS5039826,,GCA_979086315.1,URI103H_ann_v1
URI107H,K66,,1.0,A,1.0,N,US,RI,Skin,,Internal,5.0,1.0,1.0,1.0,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009641,SRS5039855,,GCA_979087465.1,URI107H_ann_v1
URI111H,K74,,1.0,A,1.0,N,US,RI,Skin,,Internal,5.0,1.0,1.0,1.0,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009649,SRS5039841,,GCA_979086355.1,URI111H_ann_v1
URI112H,K75,,3.0,K,2.0,N,US,RI,Skin,,Internal,6.0,2.0,2.0,2.0,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009650,SRS5039854,,GCA_979087445.1,URI112H_ann_v1
URI117H,K82,,3.0,K,2.0,N,US,RI,Skin,,Internal,6.0,2.0,2.0,2.0,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009657,SRS5039853,,GCA_979087495.1,URI117H_ann_v1
URI118H,K83,,3.0,K,2.0,N,US,RI,Skin,,Internal,6.0,2.0,2.0,18.0,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009658,SRS5039851,,GCA_979086395.1,URI118H_ann_v1
URI120H,K86,,1.0,A,1.0,N,US,RI,Skin,,Internal,5.0,1.0,1.0,1.0,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009661,SRS5039849,,GCA_979086375.1,URI120H_ann_v1
URI33H,K16,,9.0,N,2.0,N,US,RI,Skin,,Internal,11.0,8.0,7.0,3.0,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009591,SRS5039832,,GCA_979086385.1,URI33H_ann_v1
URI34H,K22,,38.0,D,3.0,N,US,RI,Skin,,Internal,8.0,11.0,9.0,17.0,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009597,SRS5039827,,GCA_979086415.1,URI34H_ann_v1
URI36H,K25,,16.0,I,3.0,N,US,RI,Skin,,Internal,1.0,3.0,4.0,16.0,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009600,SRS5039816,,GCA_979086405.1,URI36H_ann_v1
URI39H,K2,,1.0,A,1.0,N,US,RI,Skin,,Internal,5.0,1.0,1.0,1.0,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009577,SRS5039820,,GCA_979086425.1,URI39H_ann_v1
URI40H,K3,,1.0,A,1.0,N,US,RI,Skin,,Internal,5.0,1.0,1.0,1.0,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009578,SRS5039821,,GCA_979086475.1,URI40H_ann_v1
URI41H,K6,,1.0,A,1.0,N,US,RI,Skin,,Internal,5.0,1.0,1.0,4.0,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009581,SRS5039822,,GCA_979086505.1,URI41H_ann_v1
URI42H,K7,,1.0,A,1.0,N,US,RI,Skin,,Internal,5.0,1.0,1.0,4.0,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009582,SRS5039845,,GCA_979087555.1,URI42H_ann_v1
URI44H,K12,,3.0,K,2.0,N,US,RI,Skin,,Internal,6.0,2.0,2.0,2.0,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009587,SRS5039829,,GCA_979087535.1,URI44H_ann_v1
URI46H,K17,,3.0,K,2.0,N,US,RI,Skin,,Internal,6.0,2.0,2.0,2.0,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009592,SRS5039833,,GCA_979087585.1,URI46H_ann_v1
URI47H,K18,,3.0,K,2.0,N,US,RI,Skin,,Internal,6.0,2.0,2.0,2.0,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009593,SRS5039834,,GCA_979087605.1,URI47H_ann_v1
URI48H,K19,,9.0,N,2.0,N,US,RI,Skin,,Internal,11.0,8.0,7.0,3.0,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009594,SRS5039835,,GCA_979086465.1,URI48H_ann_v1
URI56H,K30,,16.0,I,3.0,N,US,RI,Skin,,Internal,1.0,3.0,4.0,9.0,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009605,SRS5039815,,GCA_979086485.1,URI56H_ann_v1
URI86H,K56,,3.0,K,2.0,N,US,RI,Skin,,Internal,6.0,2.0,2.0,2.0,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009631,SRS5039846,,GCA_979086495.1,URI86H_ann_v1
URI87H,K60,,1.0,A,1.0,N,US,RI,Skin,,Internal,5.0,1.0,1.0,1.0,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009635,SRS5039817,,GCA_979087635.1,URI87H_ann_v1
URI88H,K62,,4.0,H,2.0,N,US,RI,Skin,,Internal,7.0,6.0,3.0,15.0,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009637,SRS5039818,,GCA_979087625.1,URI88H_ann_v1
URI89H,K64,,1.0,A,1.0,N,US,RI,Skin,,Internal,5.0,1.0,1.0,1.0,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009639,SRS5039839,,GCA_979087645.1,URI89H_ann_v1
URI91H,K71,,1.0,A,1.0,N,US,RI,Skin,,Internal,5.0,1.0,1.0,1.0,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009646,SRS5039837,,GCA_979086535.1,URI91H_ann_v1
URI93H,K73,,1.0,A,1.0,N,US,RI,Skin,,Internal,5.0,1.0,1.0,1.0,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009648,SRS5039844,,GCA_979087685.1,URI93H_ann_v1
UWI247P,MC104,,4.0,H,2.0,N,US,WI,CSF,,Internal,7.0,10.0,3.0,6.0,PacBio RSII,Internal,PRJNA548188,SAMN50671280,SRR35049684,,GCA_979086635.1,UWI247P_ann_v1
UWI248P,MC105,,32.0,H,2.0,N,US,WI,Skin,,Internal,7.0,10.0,3.0,6.0,PacBio RSII,Internal,PRJNA548188,SAMN50671281,SRR35049683,,GCA_979086585.1,UWI248P_ann_v1
UWI263P,MC123,,29.0,L,2.0,N,US,WI,Skin,,Internal,6.0,16.0,14.0,14.0,PacBio RSII,Internal,PRJNA548188,SAMN50671282,SRR35049682,,GCA_979086595.1,UWI263P_ann_v1
UWI283P,MC149,,221.0,O,3.0,N,US,WI,Skin,,Internal,10.0,4.0,5.0,13.0,PacBio RSII,Internal,PRJNA548188,SAMN50671283,SRR35049681,,GCA_979086605.1,UWI283P_ann_v1
XYZ459H,XD1H,,12.0,M,3.0,Y,US,MD,Tick,?,Internal,10.0,4.0,5.0,12.0,ONT GridION; Illumina,Internal,PRJNA548188,SAMN50671109,SRR35038855,,GCA_979086655.1,XYZ459H_ann_v1
